"","Table 8#22# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2003 2:26:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Depreciation and amortization, IRS","B1208C",3.9,4,4,3.7,3.5,3.4,3.4,3.3,3.3,3.4,3.4,3.5,3.9,4.3,4.6,4.9,5.9,4.3,5.3,6.3,7.2,7.9,9.1,10.3,11.9,13.5,16,17.6,19.4,20.7,22.1,23.4,24.7,28.2,30.1,32,34.4,37.7,41.1,44.7,49.5,53.7,58,64.7,71.3,79.3,87.2,94.1,108,122.5,139.5,158.7,201.1,229.7,255.2,286.9,323.4,327.4,342.9,362.1,375.7,381.5,390.1,397.5,417.2,454.1,496.7,535.8,583.5,628.6,678,NA,NA
"10","2","Less: Depreciation of assets of foreign branches","B1209C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.6,3,2.6,2.7,2.9,2.9,3,3,2.8,2.4,2.6,2.8,3.1,3.2,2.6,3.3,3.5,3.3,3.2,2.8,NA,NA
"11","3","      Depreciation or amortization of intangible assets \1\","B1210C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.7,2.2,2.6,3.1,3.8,7.1,8.6,10.4,13.3,16.3,18.6,21.2,22.9,24.1,27.7,32,38.5,48,56.1,NA,NA
"12","4","      Other \2\","B1211C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.1,0.2,0.1,0.3,0.5,0.6,0.8,1.8,2.1,2.4,2.8,3.3,3.9,4.5,5.2,5.9,6.6,7.1,7.9,9.2,10.1,10.9,11.8,12.3,13.3,14.9,17.5,20.7,21.7,NA,NA
"13","5","Plus: Accidental damage to fixed capital other than repairable damage","B1212C",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,1.6,1.1,1.1,1.2,1.1,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.9,2.1,2.2,2.3,4.1,2.7,2.9,6.1,5.9,9,4.1,4,4,4.2,5.3,NA,NA
"14","6","      Depreciation of computer software not in IRS depreciation","B1215C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.4,1.7,2.1,2.6,3.1,3.6,4.2,4.9,5.7,6.8,8.2,10,12.1,14.5,17.1,19.6,22.4,26,30.4,35.1,39.9,44.5,49.2,53.9,59.2,66.8,77.7,91,NA,NA
"15","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2,2.1,2.1,2.2,2.5,2.9,3.2,3.8,4.7,6,7.8,10,12,13.8,15.6,16.7,17.1,17.4,17.8,18,18,16.9,15.9,14.5,13.3,12.3,12.3,12.2,12.3,NA,NA
"16","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.7,1.9,2.1,2.2,2.3,2.6,3,3.4,3.8,4.1,4.3,4.7,5.1,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.6,5.6,NA,NA
"17","9","      Depreciation of railroad track charged to current expense \4\","B1628C",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.9,0.9,1.3,1.5,1.5,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","      Other \5\","B1214C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.7,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.5,0.6,0.9,1.1,1.2,1.3,1.3,1.1,0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.5,0.6,0.8,0.8,2.9,2.3,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.8,1.6,NA,NA
"19","11","Equals: Capital consumption allowances, NIPA's","A677RC1",4.6,4.6,4.6,4.2,3.9,3.8,3.8,3.8,3.9,3.9,3.9,4,4.5,5.4,5.8,6.6,6.9,5.2,6.3,7.5,8.5,9.3,10.8,12.1,13.8,15.5,17.9,19.4,21.4,22.4,24,25.6,27,30.8,32.9,35.1,38,41.3,45,49.1,54.1,58.1,62.6,70,76.2,84.4,92.7,100.5,115.1,130.5,149,170.3,212.8,246.7,274.6,307.9,348.1,352.3,369.1,389.5,405.9,411.1,421.4,432.2,452.6,494.9,530.7,568.1,614.5,658.1,713.3,741.9,845.6
"20","12","Less: Capital consumption adjustment","A059RC",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5
"21","13","Equals: Consumption of fixed capital, NIPA's","B128RC",5,4.9,4.6,4.1,3.8,4,4,4.1,4.5,4.7,4.6,4.8,5.4,6.2,6.1,6.1,6.2,7.5,8.9,10.4,11.4,12.2,14,14.9,15.8,16.6,17.6,19.8,21.9,22.8,23.7,24.7,25.2,26.2,27.2,28.7,30.8,33.7,37.1,41.1,45.6,50.5,55.4,60.9,66.8,78.5,94,104.5,117.5,134.5,156.4,181.1,210.1,233.4,244.4,260.2,280.9,302.1,320.8,344.3,370.6,391.1,411.2,427.9,448.5,482.7,512.1,543.5,581.5,620.2,665.5,721.1,789.1
"22",NA,"      Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","14","Depreciation and amortization, IRS","B1218C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.2,6.5,6.8,7.1,7.5,7.9,8.8,9.6,10.4,11.7,13.4,15.4,17.3,18.9,21.2,24.6,29.7,34.6,42.8,49.6,59.5,72.6,85,94.1,93.6,99.4,104.7,96.5,94.6,98,102.3,102.4,107.3,116.8,130.5,144.1,163.4,181.8,NA
"24","15","Less: Depreciation or amortization of intangible assets \1\","B1219C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.9,2.7,6,6.5,7.3,NA
"25","16","      Adjustment for misreporting on income tax returns","B1220C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,1,1.2,1.5,1.9,2.5,3.1,2.9,5,5.1,6.6,7.5,8.4,8.1,8.6,9.3,8.5,8.5,8.8,9,9.3,9.2,9.6,10.3,11.2,13,14.6,NA
"26","17","      Other \6\","B2626C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.3,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,NA
"27","18","Plus: Accidental damage to fixed capital other than repairable damage","B1221C",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.8,0.6,0.6,1.2,0.9,4,0.8,0.6,0.6,0.6,0.7,0.7,NA
"28","19","      Depreciation of computer software not in IRS depreciation","B1226C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.8,1,1.3,1.6,1.9,2.2,2.5,2.8,3.2,3.7,4.3,4.8,5,5.2,5.3,5.4,5.7,6.2,6.9,7.7,NA
"29","20","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.8,2.6,3.2,3.5,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.7,3.2,2.6,2.3,2.2,2.3,2.7,2.9,3,NA
"30","21","      Depreciation of motor vehicles not in IRS depreciation \3\","B1313C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA
"31","22","Equals: Capital consumption allowances, NIPA's","B1314C",0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.3,1.3,1.4,1.6,2.3,2.7,3.2,3.5,3.9,4.2,4.5,4.6,4.8,5.4,5.8,5.9,6,6,6,6.1,6.4,6.7,6.8,7.1,7.6,8,8.9,9.7,10.5,12.1,13.5,15.1,17,18.4,20.6,23.9,28.7,33.5,42.7,48.5,59.2,71.4,83.3,92,92.1,97.6,102.9,95.5,94.2,98.3,101.6,103.9,105.1,113.3,125.8,136,154,171,189.7
"32","23","Less: Capital consumption adjustment","B1225C",-0.4,-0.4,-0.3,-0.2,-0.3,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.9,0.9,0.8,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0,-0.1,-0.3,-0.3,-0.5,-0.8,-0.2,-0.1,-0.2,-0.5,-0.2,0.3,0.8,1.6,2.1,6.3,7.6,16.6,26.6,35,39.9,36.4,37.1,38,28.5,25.6,29.4,31.4,24.3,29.9,35.5,44.2,50,62.6,73.2,86.8
"33","24","Equals: Consumption of fixed capital, NIPA's","B1228C",1.2,1.2,1.2,1,0.9,0.9,0.9,0.9,1,1,1,1,1.2,1.3,1.2,1.3,1.3,1.5,2.1,2.5,2.8,3,3.4,3.6,3.8,3.9,4.1,4.6,4.9,5.1,5.5,5.6,5.7,5.8,5.9,6.2,6.6,7.1,7.7,8.4,9.2,10.2,11.3,12.3,13.6,15.4,17.5,18.7,20.3,23.1,27.1,31.4,36.4,40.9,42.6,44.8,48.3,52.1,55.6,60.4,64.8,67.1,68.6,68.9,70.2,79.6,75.2,77.8,81.6,85.9,91.5,97.8,102.9
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work animals; motion picture films; ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," 3. Consists of depreciation of employees' motor vehicles reimbursed by business and depreciation of business motor vehicles ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," 4. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41"," 5. Consists of depreciation of assets owned by Federal Reserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","banks, Federally sponsored credit agencies, credit unions, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","nonprofit institutions serving business; depreciation of interest paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by public utilities for own-account investment prior to 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","(beginning with 1987, included in line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46"," 6. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
