"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2004 3:10:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","     Nonfarm proprietors' income","B046RC0",23226,22242,25735,27828,28609,29970,30484,33708,35580,37436,37880,40344,40014,42033,44087,45473,49479,52160,55716,58701,63430,65533,66615,72603,79925,86550,93786,99454,116616,131334,149148,160163,164172,159526,156744,170909,198264,209027,214805,239128
"9","2","Agricultural services, forestry, and fishing","J1800C0",328,347,377,419,454,477,524,538,557,565,579,587,620,647,787,745,882,925,983,1043,1193,1350,1368,1582,1778,1980,2259,2368,2753,2098,2391,2817,2219,1944,1810,2709,2842,3718,3819,5609
"10","3","Mining","J1801C0",402,289,296,309,279,301,294,342,407,416,375,283,281,281,203,256,278,276,191,389,680,451,543,384,691,1129,2934,3805,3162,5109,4479,5325,8647,9385,8718,4735,5715,5609,-1634,-1156
"11","4","Construction","J1802C0",2695,2681,3203,3344,3533,3565,3364,3674,3878,4171,3991,4337,4329,4746,4966,5298,5741,6220,6532,6707,7034,7579,7588,8843,10516,11731,12607,13038,17606,17787,21307,21839,20516,18735,19140,24487,34007,37755,44069,45692
"12","5","Manufacturing","J1803C0",1835,1592,2074,2217,2142,2186,2000,2138,2202,2116,1974,2026,1958,1885,1899,1827,1949,2026,2243,1973,1944,1898,1724,1713,2158,2406,2638,2326,2598,6233,8420,10350,8549,6363,5706,5237,6910,7460,8596,10444
"13","6","  Durable goods","J1804C0",838,714,1075,1194,1118,1142,1009,1154,1233,1161,1034,1164,1093,1066,1124,1128,1195,1309,1478,1368,1317,1298,1079,1091,1416,1460,1554,1388,1714,2577,3315,2886,3655,3016,2531,2124,3675,4022,4542,5792
"14","7","  Nondurable goods","J1805C0",997,878,999,1023,1024,1044,991,984,969,955,940,862,865,819,775,699,754,717,765,605,627,600,645,622,742,946,1084,938,884,3656,5105,7464,4894,3347,3175,3113,3235,3438,4054,4652
"15","8","Transportation and public utilities","A1806C0",627,624,737,845,908,989,1056,1071,1125,1218,1265,1305,1399,1566,1745,1910,2058,2227,2366,2364,2733,2760,2930,3397,4077,4483,5569,5643,6763,6895,7575,8279,8221,8894,9218,8734,11822,11941,13429,13718
"16","9","  Transportation","B1807C0",601,599,694,781,834,895,940,949,990,1048,1069,1103,1143,1262,1405,1501,1579,1749,1830,1768,2070,2070,2180,2489,2945,3273,4233,4103,4846,5288,5799,6127,6027,6446,6877,7739,10370,9661,10780,12281
"17","10","  Communication","B1808C0",8,8,11,14,18,19,22,19,19,18,46,73,71,74,60,93,117,99,107,15,36,26,36,57,34,31,48,49,65,190,176,234,260,291,168,127,40,569,215,-362
"18","11","  Electric, gas, and sanitary services","B1809C0",18,17,32,50,56,75,94,103,116,152,150,129,185,230,280,316,362,379,429,581,627,664,714,851,1098,1179,1288,1491,1852,1417,1600,1918,1934,2157,2173,868,1412,1711,2434,1799
"19","12","Wholesale trade","J1810C0",1886,1680,2359,2580,2427,2607,2341,2895,3261,3380,3312,3118,3102,3266,3311,3406,3346,3263,3450,3423,3742,3801,3861,4113,4910,5273,6464,6491,7136,6410,7826,8542,8564,6787,5919,5207,5995,7009,7407,10220
"20","13","Retail trade","J1811C0",8128,7452,7922,8656,8677,8689,9060,9123,9295,9540,9467,10163,9469,9428,9775,9523,10581,11103,11540,12082,12645,12874,13108,14053,14820,17321,18345,19091,21223,21823,24241,25279,25205,25129,25453,32378,35453,40740,37401,33132
"21","14","Finance, insurance, and real estate","J1812C0",1161,1346,1855,1945,2126,2331,2645,3210,3341,3603,3790,4039,4073,4271,4437,4746,5112,5487,5633,6028,7168,6922,6298,7807,8232,7005,5759,5970,9211,10318,12794,12915,11388,9839,3816,3344,-2460,-13217,-16570,-9505
"22","15","Services","J1813C0",6164,6231,6912,7513,8063,8825,9200,10717,11514,12427,13127,14486,14783,15943,16964,17762,19532,20633,22778,24692,26291,27898,29195,30711,32743,35222,37211,40722,46164,54661,60115,64817,70863,72450,76964,84078,97980,108012,118288,130974
"23","16","  Hotels and other lodging places","B1814C0",252,253,271,277,282,277,278,307,310,298,287,347,297,292,309,321,290,369,424,407,418,371,371,402,368,331,223,359,784,1365,1617,1570,1784,1412,1110,-104,-780,-1328,-2201,-3982
"24","17","  Personal services","B1815C0",1005,1012,1108,1155,1193,1259,1298,1355,1460,1638,1638,1687,1724,1829,1911,1992,2140,2171,2442,2579,2725,2722,2784,2851,3037,3167,3465,3610,4349,4301,4794,4994,5340,5075,5352,6616,7265,9543,10866,11122
"25","18","  Business services","B1816C0",271,273,365,444,556,661,751,844,930,979,996,1096,1069,1179,1275,1395,1557,1581,1692,1901,2006,2110,2210,2549,3113,3499,3850,4259,5703,7846,8673,10192,11146,11838,14433,18069,20636,23663,26102,30418
"26","19","  Auto repair, services, and parking","B1817C0",277,279,332,399,407,458,509,607,723,683,747,770,879,927,1038,1103,1190,1145,1231,1392,1464,1553,1577,1953,2250,2508,2756,3137,3683,2774,3280,3285,3163,3452,3119,4639,6825,8319,8185,8753
"27","20","  Miscellaneous repair services","B1818C0",307,310,356,373,407,444,488,495,533,563,558,497,517,566,574,640,649,678,769,735,802,904,849,976,1083,1170,1329,1433,1561,1771,2020,1989,2534,2009,2138,2916,3883,2862,3539,3237
"28","21","  Motion pictures","B1819C0",65,65,78,88,85,80,98,80,72,50,73,80,76,105,134,134,140,155,160,166,244,197,189,230,253,223,140,130,446,713,947,890,817,520,624,1074,1693,1968,2590,2754
"29","22","  Amusement and recreation services","B1820C0",134,135,141,139,156,223,249,275,293,258,279,283,319,353,291,320,342,347,402,370,373,251,352,303,321,499,475,569,603,1617,1953,2048,1972,1832,1448,1762,2488,3428,3695,3511
"30","23","  Health services","J1821C0",2406,2389,2588,2797,3037,3347,3212,4169,4395,4792,5169,5810,5880,6167,6652,6833,7609,8081,8860,9852,10603,11491,11723,11508,11473,11546,11905,12898,14423,16590,17250,18118,19884,20934,22781,22186,23653,24861,26942,32300
"31","24","  Legal services","B1822C0",949,1014,1096,1194,1236,1307,1444,1581,1606,1732,1800,2139,2165,2504,2636,2851,3124,3410,3818,4029,4142,4481,5071,5557,6104,6598,7043,7287,7700,9826,10489,11251,12782,12943,14481,14961,18236,19234,21778,23803
"32","25","  Other \1\","B1823C0",498,501,577,647,704,769,873,1004,1192,1434,1580,1777,1857,2021,2144,2173,2491,2696,2980,3261,3514,3818,4069,4382,4741,5681,6025,7040,6912,7858,9092,10480,11441,12435,11478,11959,14081,15462,16792,19058
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
