"","Table 6#15A# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 6, 2004      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2007 10:29:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Net interest","B060RC0",4472,4725,4710,4372,3869,3920,3952,3697,3568,3528,3531,3214,3151,3069,2745,2303,2193,1794,2329
"9","2","Domestic industries","A1850C0",3939,4154,4192,3975,3568,3702,3771,3540,3472,3451,3484,3203,3132,3046,2770,2351,2206,1793,2274
"10","3","  Agriculture, forestry, and fisheries","B1851C0",797,769,734,680,606,543,478,447,428,448,457,455,456,419,352,310,286,223,240
"11","4","  Mining","B1852C0",31,25,38,35,34,41,38,29,31,32,31,26,19,18,9,9,3,8,7
"12","5","  Contract construction","B1853C0",20,29,27,27,8,-6,-7,14,12,10,9,7,11,14,4,1,2,2,17
"13","6","  Manufacturing","A1854C0",-64,26,32,12,36,40,53,39,96,47,57,26,13,10,-74,-75,-46,-126,-25
"14","7","    Durable goods","B1855C0",-128,-59,-38,-27,-9,0,1,0,43,-5,14,-3,-17,-54,-83,-71,-42,-79,-24
"15","8","    Nondurable goods","B1856C0",63,84,70,39,44,40,52,39,53,52,42,29,30,64,9,-4,-4,-47,-1
"16","9","  Transportation and public utilities","A1857C0",857,951,1099,1149,1159,1087,1082,1033,966,969,934,849,789,781,756,705,672,527,516
"17","10","    Transportation","B1858C0",504,527,566,582,613,628,613,580,570,569,547,510,481,438,419,392,358,298,267
"18","11","    Communication","B1859C0",47,59,61,59,65,62,57,54,45,49,48,35,36,52,51,47,43,35,50
"19","12","    Electric, gas, and sanitary services","B1860C0",305,366,471,507,480,397,412,399,351,351,339,304,272,292,287,267,271,193,199
"20","13","  Wholesale trade","B1861C0",31,23,14,-2,5,3,2,7,16,14,12,7,13,10,-13,-13,-8,3,16
"21","14","  Retail trade and automobile services","B1862C0",97,100,85,40,0,-12,-1,13,42,22,29,19,33,9,-27,-55,-64,-62,-11
"22","15","  Finance, insurance, and real estate","A1863C0",2122,2168,2089,1968,1649,1936,2056,1907,1833,1860,1912,1778,1765,1749,1740,1443,1345,1187,1475
"23","16","    Finance","B1864C0",-217,-180,-317,-398,-595,-293,-158,-271,-310,-226,-165,-237,-263,-260,-158,-324,-365,-559,-458
"24","17","    Real estate","B1865C0",2349,2355,2411,2370,2247,2233,2218,2181,2146,2089,2080,2020,2033,2014,1902,1771,1715,1794,1964
"25","18","    Other","B1866C0",-10,-8,-5,-4,-3,-3,-4,-3,-3,-3,-3,-5,-5,-5,-4,-5,-5,-48,-31
"26","19","  Services","A1867C0",49,64,75,67,72,69,69,51,48,49,44,37,34,36,22,26,17,32,39
"27","20","Rest of the world","A1627C0",533,571,518,397,301,218,181,157,96,77,47,11,19,23,-25,-48,-13,1,55
"28","21","  Receipts from the rest of the world","A2067C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,224
"29","22","  Less:  Payments to the rest of the world","B1869C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,169
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
