"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 29, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2010 12:20:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","S1 PN04472AMG       Retail and food services","T070013",85.694,87.391,88.884,90.191,91.919,92.695,91.841,92.945,95.25,95.715,95.251,95.641,97.673,100,101.622,102.877,105.675,103.405
"9","2","S1 PN44ZZZZMG Retail trade","T070023",87.232,88.974,90.503,91.763,93.467,94.069,92.868,93.856,96.17,96.371,95.584,95.805,97.748,100,101.457,102.442,105.035,102.1
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",85.407,88.497,92.081,95.456,97.18,97.61,97.189,98.11,99.02,99.961,99.911,98.028,98.056,100,101.204,101.08,101,101.17
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.633,88.262,92.296,96.026,97.928,98.437,97.978,98.969,99.844,100.644,100.452,98.162,98.066,100,100.86,100.422,99.622,99.291
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.19,88.443,90.971,93.47,94.607,94.45,94.591,96.06,97.576,98.718,98.346,98.012,98.523,100,101.894,101.401,102.919,104.033
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.088,90.075,90.001,90.541,90.943,90.952,90.576,90.521,91.384,93.633,95.328,96.58,97.527,100,104.121,107.605,113.041,116.781
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",148.828,149.322,150.569,149.69,147.64,143.79,138.662,132.132,127.511,121.303,115.121,108.524,104.049,100,95.626,90.693,86.177,80.995
"15","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",100.243,101.425,103.558,104.382,105.32,105.606,105.987,105.513,105.511,104.564,102.938,100.795,100.127,100,99.983,98.7,97.637,96.972
"16","9","S4 PN4421ZZMG       Furniture Stores","T070093",100.961,102.562,105.235,106.348,107.694,107.64,107.482,107.136,106.752,105.11,103.051,101.477,100.96,100,100.473,99.301,98.072,97.691
"17","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.602,100.157,101.521,101.949,102.342,103.079,104.167,103.53,103.999,103.914,102.815,100.005,99.164,100,99.424,98.014,97.142,96.144
"18","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.528,226.038,224.839,220.435,212.623,201.079,186.067,169.351,157.259,142.946,130.229,117.691,108.501,100,91.167,82.948,75.782,67.727
"19","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",84.16,91.187,93.58,93.635,94.752,96.962,94.039,94.023,93.51,92.859,92.064,93.003,98.492,100,100.397,101.23,103.353,100.117
"20","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",83.83,92.013,94.447,94.186,94.47,97.167,94.765,95.213,94.135,93.067,92.355,92.881,98.427,100,100.158,100.063,100.044,97.415
"21","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",85.088,85.569,87.704,89.606,95.649,95.02,89.216,86.575,89.439,91.422,90.074,93.955,99.016,100,102.402,110.963,129.952,122.795
"22","15","S1 PN445ZZZMG   Food and beverage stores","T070153",75.053,76.287,77.367,78.839,81.512,83.221,84.577,86.713,89.127,91.859,93.378,95.102,98.068,100,101.992,105.549,111.522,113.431
"23","16","S1 PN4451ZZMG     Grocery stores","T070163",74.736,76.004,77.145,78.67,81.379,83.068,84.444,86.568,88.965,91.739,93.246,94.991,98.03,100,102.031,105.678,111.827,113.657
"24","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.891,76.194,77.621,79.198,82.103,83.93,85.25,86.65,88.555,91.428,92.912,94.882,98.211,100,101.729,105.755,112.705,113.585
"25","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.959,80.599,80.506,81.055,83.017,84.969,86.038,88.725,91.627,93.711,95.408,96.703,98.496,100,101.624,103.833,107.22,110.54
"26","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",120.167,119.629,118.316,115.982,114.351,113.633,111.34,109.748,108.288,106.75,104.073,101.394,100.987,100,100.025,99.956,100.216,101.071
"27","20","S2 PN4481ZZMG     Clothing stores","T070203",121.128,120.405,118.575,115.71,114.298,114.176,111.973,110.893,109.768,107.726,104.84,102.048,101.456,100,99.468,98.566,97.45,97.951
"28","21","S2 PN4482ZZMG     Shoe stores","T070213",110.253,110.478,109.41,107.872,107.083,106.936,105.83,103.304,101.778,100.953,99.512,97.901,97.634,100,100.588,99.677,101.003,103.006
"29","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.599,124.089,125.124,124.503,120.928,116.828,112.879,109.942,107.111,107.17,104.324,101.226,101.566,100,102.303,107.324,114.517,116.337
"30","23","S1 PN452ZZZMG   General merchandise stores","T070233",100.496,100.942,101.339,101.313,102.105,102.477,102.103,102.152,102.385,102.481,101.514,100.162,100.173,100,99.95,99.93,100.977,100.726
"31","24","S1 PN4521ZZMG     Department stores","T070243",108.615,108.869,109.051,108.446,108.669,108.711,107.761,107.131,106.681,105.873,104.035,101.704,100.841,100,99.341,98.265,97.68,96.98
"32","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.002,90.87,91.714,92.797,94.672,95.646,96.213,97.271,98.414,99.566,99.473,98.982,99.686,100,100.357,100.989,102.956,102.95
"33","26","S1 PN44EZZZMG   Other retail stores","T070263",74.955,75.544,76.311,77.236,79.793,80.285,77.638,80.201,87.161,86.901,85.536,89.141,93.842,100,104.165,107.021,113.251,104.18
"34","27","S1 PN446ZZZMG     Health and personal care stores","T070273",72.785,74.695,76.343,77.214,78.901,80.085,81.867,84.901,87.695,90.954,93.797,95.59,97.721,100,103.033,104.454,106.588,109.128
"35","28","S1 PN447ZZZMG     Gasoline stations","T070283",55.259,55.007,55.14,55.985,59.145,59.483,53.577,58.187,71.582,69.872,66.852,75.651,86.207,100,109.773,117.57,131.663,108.272
"36","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.255,107.765,108.625,108.76,109.385,108.795,107.672,105.698,104.688,104.205,102.867,101.541,100.896,100,99.134,97.877,98.304,98.095
"37","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.105,117.256,118.122,117.944,118.089,117.041,114.632,111.463,109.315,107.538,104.868,102.585,101.368,100,98.892,97.051,97.331,97.152
"38","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.854,89.965,90.801,91.447,92.842,93.014,94.032,94.125,95.177,97.163,98.488,99.18,99.796,100,99.756,100.15,101.023,100.735
"39","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",90.281,91.531,93.173,95.407,97.123,98.109,98.571,99.515,100.191,100.14,99.526,98.419,99.027,100,100.652,101.394,103.746,104.695
"40","33","S3 PN4531ZZMG       Florists","T070333",94.953,93.436,93.869,96.431,94.176,91.873,92.978,91.324,94.828,97.544,97.65,97.212,99.91,100,100.74,101.8,105.312,104.596
"41","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",104.041,105.513,107.189,110.036,112.718,114.678,114.971,113.349,111.714,109.757,107.317,103.963,101.264,100,98.634,97.801,97.438,95.277
"42","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.131,107.579,108.106,107.845,108.115,107.679,106.386,105.669,105.585,104.513,102.634,100.732,100.421,100,99.667,99.083,99.263,98.033
"43","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",76.272,78.125,80.159,82.279,84.242,85.38,86.115,89.394,91.352,92.418,93.251,93.848,96.866,100,102.48,104.762,109.627,113.829
"44","37","S1 PN454ZZZMG     Nonstore retailers","T070373",91.465,92.34,93.05,93.512,96.525,96.729,94.77,94.844,99.684,98.743,96.046,96.315,97.56,100,100.193,99.777,102.596,95.447
"45","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",109.546,110.917,112.238,112.579,113.283,113.084,112.446,111.689,111.02,109.663,107.316,104.001,102.317,100,97.653,95.492,93.393,90.59
"46","39","S4 PN4542ZZMG       Vending machine operators","T070393",73.782,75.147,76.363,77.967,80.722,82.594,84.274,86.348,88.346,91.236,92.896,94.83,97.957,100,102.016,106.048,112.436,114.249
"47","40","S4 PN4543ZZMG       Direct selling establishments","T070403",66.361,66.689,66.804,67.113,71.412,71.699,68.156,68.874,80.858,80.06,76.459,81.982,87.999,100,105.995,109.736,126.793,104.861
"48","41","S1 PN722ZZZMG Food services and drinking places","T070413",72.469,73.798,74.992,76.641,78.54,80.713,82.719,84.804,87.03,89.815,92.235,94.142,96.984,100,103.147,106.931,111.619,115.309
"49","42","S4 PN7221ZZMG   Full-service restaurants","T070423",72.299,73.669,74.884,76.55,78.489,80.679,82.818,85.045,87.225,90.099,92.421,94.408,97.085,100,103.307,107.1,111.423,114.503
"50","43","S4 PN7222ZZMG   Limited-service eating places","T070433",73.017,74.239,75.386,76.99,78.809,80.936,82.762,84.634,86.9,89.548,92.074,93.839,96.871,100,102.899,106.62,111.793,116.369
"51","44","S4 PN7223ZZMG   Special food Services","T070443",73.153,74.427,75.596,77.234,79.099,81.235,83.357,85.549,87.67,90.418,92.629,94.522,97.131,100,103.158,106.851,111.089,113.957
"52","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",68.407,70.26,71.699,73.571,75.845,78.299,80.461,82.889,85.356,88.553,91.327,93.727,96.829,100,103.885,108.294,112.869,116.057
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",85.706,87.03,87.94,88.659,90.387,91.264,90.284,91.442,94.168,94.491,93.907,94.955,97.565,100,101.735,103.352,106.857,104.082
"55","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",87.8,89.12,89.976,90.534,92.23,92.891,91.426,92.438,95.24,95.186,94.151,95.072,97.648,100,101.535,102.851,106.192,102.52
"56","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores \1\","T070483",113.358,113.662,113.938,113.478,113.441,112.93,111.386,109.775,108.66,107.213,104.908,102.273,101.195,100,98.961,97.768,97.387,96.231
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
