"","Table 6#10D# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:29:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Employer contributions for government social insurance","B039RC0",307237,323339,345220,357986,366111,382427,408095,427492,446707,459931,470127,460569
"9","2","Domestic industries","B4802C0",307237,323339,345220,357986,366111,382427,408095,427492,446707,459931,470127,460569
"10","3","  Private industries","B4803C0",262637,276574,295929,305651,310147,323337,346213,363453,379568,389644,396444,381978
"11","4","    Agriculture, forestry, fishing, and hunting","N4804C0",2095,2115,2279,2303,2422,2529,2745,2714,2814,3170,3089,3120
"12","5","    Mining","N4805C0",2198,2086,2185,2361,2108,2169,2350,2603,2962,3158,3545,3294
"13","6","    Utilities","N4806C0",2324,2412,2553,2728,2733,2714,2771,2764,2870,2935,3061,3172
"14","7","    Construction","N4807C0",18382,20426,22116,23506,25049,26324,28692,30817,32851,32701,32048,27708
"15","8","    Manufacturing","N4808C0",53732,54605,57225,55936,51384,52051,54599,55576,56530,55507,55157,50570
"16","9","      Durable goods","N4809C0",35687,36487,38491,37191,33743,34038,36039,36923,37849,37079,36670,32872
"17","10","      Nondurable goods","N4810C0",18045,18118,18734,18745,17641,18013,18560,18653,18681,18428,18487,17697
"18","11","    Wholesale trade","N4811C0",17671,18534,19706,19569,19445,20305,21590,22700,23915,24664,25200,23935
"19","12","    Retail trade","N4812C0",24884,26065,27605,28809,29140,30493,32517,33630,34538,34861,34671,33091
"20","13","    Transportation and warehousing","N4813C0",13627,14226,14807,15186,15217,15708,16713,17361,17868,18200,18300,17287
"21","14","    Information","N4814C0",11354,12598,13865,13665,12719,12667,13122,13342,13900,14181,14387,13841
"22","15","    Finance and insurance, real estate, rental, and leasing","N4815C0",21289,22508,24200,26074,27109,28644,30682,32437,33977,35027,35082,33777
"23","16","    Professional, and business services \1\","N4816C0",40332,43910,48952,49984,51710,53974,59078,63928,68052,71842,73979,71147
"24","17","    Educational services, health care, and social assistance","N4828C0",32123,33290,35119,38416,42314,45376,48638,51420,54414,57121,60927,64396
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N4829C0",13695,14420,15325,16303,17482,18511,20122,21212,21423,22231,22428,22337
"26","19","    Other services, except government","N4830C0",8931,9379,9993,10811,11315,11871,12590,12949,13453,14045,14569,14300
"27","20","  Government","B4818C0",44600,46765,49291,52335,55964,59090,61882,64039,67139,70287,73683,78591
"28","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
