"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:12:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Monetary interest paid","A2061C1","123,383.0","141,758.0","151,022.0","168,569.0","213,535.0","266,990.0","276,131.0","298,217.0","338,109.0","412,828.0","537,851.0","688,211.0","915,482.0","1,028,203.0","1,015,750.0","1,182,438.0","1,263,060.0","1,312,171.0","1,373,710.0","1,545,522.0","1,822,808.0","1,855,486.0","1,752,458.0","1,567,752.0","1,497,325.0","1,621,582.0","1,865,091.0","1,948,552.0","2,110,945.0","2,295,069.0","2,379,884.0","2,796,584.0","2,685,571.0","2,282,557.0","2,147,854.0","2,346,762.0","3,010,109.0","3,871,400.0","4,496,629.0","3,954,617.0","3,240,201.0"
"21","2","  Domestic business \1\","A2062C1","67,337.0","80,073.0","84,971.0","95,562.0","127,509.0","167,373.0","167,720.0","174,725.0","196,780.0","241,680.0","325,274.0","426,848.0","585,748.0","646,904.0","604,441.0","697,389.0","738,212.0","754,203.0","792,651.0","913,278.0","1,116,906.0","1,103,481.0","991,721.0","826,668.0","767,480.0","859,133.0","1,008,206.0","1,050,877.0","1,161,520.0","1,307,737.0","1,378,008.0","1,697,033.0","1,623,541.0","1,273,646.0","1,147,004.0","1,286,676.0","1,757,536.0","2,392,986.0","2,832,920.0","2,419,383.0","1,896,266.0"
"22","3","    Corporate business","A2063C1","54,357.0","65,289.0","68,180.0","76,243.0","104,198.0","139,184.0","136,421.0","140,620.0","158,747.0","197,514.0","270,006.0","358,545.0","501,928.0","552,920.0","505,953.0","582,715.0","611,937.0","617,809.0","659,876.0","766,064.0","948,976.0","936,889.0","831,548.0","681,630.0","627,760.0","711,601.0","852,541.0","888,235.0","982,840.0","1,107,086.0","1,172,489.0","1,453,495.0","1,370,437.0","1,053,531.0","926,056.0","1,047,459.0","1,433,469.0","1,987,466.0","2,335,370.0","1,968,826.0","1,525,668.0"
"23","4","      Financial","A1100C1","29,365.0","34,589.0","36,526.0","42,067.0","60,850.0","83,649.0","80,383.0","83,622.0","94,471.0","118,704.0","166,997.0","225,987.0","330,852.0","368,986.0","331,259.0","379,972.0","392,626.0","383,108.0","416,706.0","486,781.0","611,787.0","590,634.0","497,334.0","389,496.0","355,175.0","422,027.0","522,106.0","538,465.0","598,188.0","706,870.0","738,824.0","943,705.0","873,475.0","614,348.0","511,052.0","630,846.0","952,943.0","1,426,007.0","1,686,115.0","1,346,591.0","979,137.0"
"24","5","        On deposits \2\","B1305C1","20,130.0","21,808.0","25,505.0","29,660.0","38,266.0","49,240.0","51,065.0","55,426.0","62,660.0","74,498.0","95,410.0","125,211.0","173,232.0","187,295.0","175,117.0","203,632.0","200,330.0","186,731.0","176,288.0","195,504.0","228,603.0","222,673.0","192,768.0","129,416.0","99,007.0","96,743.0","126,371.0","131,557.0","139,680.0","146,189.0","142,025.0","173,082.0","160,950.0","107,974.0","82,391.0","77,480.0","123,875.0","194,283.0","239,448.0","165,703.0","111,007.0"
"25","6","        On other liabilities","B1306C1","9,235.0","12,781.0","11,021.0","12,407.0","22,584.0","34,409.0","29,318.0","28,196.0","31,811.0","44,206.0","71,587.0","100,776.0","157,620.0","181,691.0","156,142.0","176,340.0","192,296.0","196,377.0","240,418.0","291,277.0","383,184.0","367,962.0","304,565.0","260,079.0","256,168.0","325,284.0","395,735.0","406,908.0","458,508.0","560,681.0","596,799.0","770,623.0","712,525.0","506,374.0","428,661.0","553,366.0","829,068.0","1,231,724.0","1,446,667.0","1,180,888.0","868,130.0"
"26","7","      Nonfinancial","B1101C1","24,992.0","30,700.0","31,654.0","34,176.0","43,348.0","55,535.0","56,038.0","56,998.0","64,276.0","78,810.0","103,009.0","132,558.0","171,076.0","183,934.0","174,694.0","202,743.0","219,311.0","234,701.0","243,170.0","279,283.0","337,189.0","346,255.0","334,214.0","292,134.0","272,585.0","289,574.0","330,435.0","349,770.0","384,652.0","400,216.0","433,665.0","509,790.0","496,962.0","439,183.0","415,004.0","416,613.0","480,526.0","561,459.0","649,255.0","622,235.0","546,531.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","7,434.0","8,656.0","10,031.0","11,770.0","14,709.0","18,414.0","20,190.0","21,863.0","24,393.0","29,023.0","38,153.0","48,804.0","61,992.0","70,670.0","74,004.0","87,221.0","95,364.0","101,535.0","95,362.0","106,904.0","124,141.0","121,277.0","114,261.0","103,290.0","102,604.0","112,492.0","121,191.0","129,174.0","145,379.0","167,375.0","171,224.0","206,975.0","216,206.0","182,232.0","182,109.0","197,143.0","277,651.0","353,574.0","441,350.0","390,382.0","309,418.0"
"28","9","      Farm","B1103C1","2,489.0","2,769.0","2,909.0","3,206.0","3,734.0","4,554.0","5,057.0","5,883.0","6,751.0","8,183.0","10,440.0","12,954.0","15,812.0","17,273.0","17,017.0","16,674.0","15,432.0","13,370.0","12,128.0","11,111.0","10,460.0","9,888.0","8,861.0","8,354.0","7,968.0","8,704.0","8,984.0","9,358.0","9,477.0","9,509.0","9,483.0","9,945.0","8,969.0","8,737.0","7,799.0","7,584.0","8,992.0","9,378.0","10,083.0","9,965.0","9,889.0"
"29","10","      Nonfarm","B1102C1","4,945.0","5,887.0","7,122.0","8,564.0","10,975.0","13,860.0","15,133.0","15,980.0","17,642.0","20,840.0","27,713.0","35,850.0","46,180.0","53,397.0","56,987.0","70,547.0","79,932.0","88,165.0","83,234.0","95,793.0","113,681.0","111,389.0","105,400.0","94,936.0","94,636.0","103,788.0","112,207.0","119,816.0","135,902.0","157,866.0","161,741.0","197,030.0","207,237.0","173,495.0","174,310.0","189,559.0","268,659.0","344,196.0","431,267.0","380,417.0","299,529.0"
"30","11","    Other private business","A2065C1","5,546.0","6,127.0","6,760.0","7,548.0","8,602.0","9,775.0","11,109.0","12,242.0","13,640.0","15,143.0","17,115.0","19,498.0","21,828.0","23,313.0","24,485.0","27,453.0","30,911.0","34,859.0","37,413.0","40,310.0","43,789.0","45,315.0","45,912.0","41,748.0","37,116.0","35,040.0","34,474.0","33,468.0","33,301.0","33,276.0","34,295.0","36,563.0","36,898.0","37,883.0","38,839.0","42,074.0","46,416.0","51,946.0","56,200.0","60,175.0","61,180.0"
"31","12","      Rental income of persons","B1130C1","5,393.0","5,965.0","6,606.0","7,442.0","8,414.0","9,485.0","10,460.0","11,452.0","12,592.0","13,939.0","15,453.0","17,225.0","18,827.0","20,341.0","21,509.0","24,734.0","28,654.0","32,714.0","35,389.0","38,232.0","41,334.0","42,875.0","43,663.0","39,759.0","35,190.0","33,180.0","33,100.0","32,153.0","32,054.0","32,038.0","33,067.0","35,347.0","35,694.0","36,701.0","37,670.0","40,937.0","45,311.0","50,841.0","55,095.0","59,070.0","60,075.0"
"32","13","      Proprietors' income","B2631C1","153.0","162.0","154.0","106.0","188.0","290.0","649.0","790.0","1,048.0","1,204.0","1,662.0","2,273.0","3,001.0","2,972.0","2,976.0","2,719.0","2,257.0","2,145.0","2,024.0","2,078.0","2,455.0","2,440.0","2,249.0","1,989.0","1,926.0","1,860.0","1,374.0","1,315.0","1,247.0","1,238.0","1,228.0","1,216.0","1,204.0","1,182.0","1,169.0","1,137.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0"
"33","14","  Households and nonprofit institutions","W291RC1","31,721.0","34,260.0","37,510.0","42,306.0","48,782.0","54,485.0","58,535.0","65,670.0","76,841.0","92,903.0","112,184.0","134,801.0","155,944.0","177,178.0","193,690.0","221,711.0","247,871.0","270,620.0","281,845.0","299,611.0","328,598.0","348,273.0","355,584.0","353,948.0","348,160.0","358,803.0","399,827.0","425,989.0","454,656.0","476,310.0","501,545.0","559,986.0","583,239.0","589,008.0","598,859.0","634,355.0","718,202.0","818,904.0","891,211.0","873,265.0","829,821.0"
"34","15","    Households","W292RC1","31,081.0","33,510.0","36,685.0","41,396.0","47,717.0","53,235.0","57,107.0","64,113.0","75,160.0","90,758.0","109,460.0","131,356.0","151,592.0","171,941.0","187,579.0","213,554.0","240,033.0","261,523.0","272,366.0","288,884.0","316,933.0","336,403.0","343,256.0","341,133.0","333,316.0","344,950.0","385,117.0","410,293.0","438,235.0","459,371.0","484,255.0","542,415.0","565,640.0","571,803.0","582,230.0","618,341.0","702,660.0","803,566.0","875,964.0","858,360.0","815,629.0"
"35","16","      Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,087.0","129,849.0","145,437.0","160,480.0","171,607.0","183,781.0","199,930.0","214,452.0","220,133.0","222,184.0","216,212.0","219,046.0","238,784.0","247,623.0","263,384.0","275,487.0","294,136.0","326,300.0","347,144.0","365,691.0","381,552.0","408,367.0","469,850.0","547,866.0","591,714.0","592,780.0","572,193.0"
"36","17","      Persons \3\","W293RC1","15,713.0","16,783.0","17,841.0","19,649.0","22,427.0","24,200.0","24,536.0","26,643.0","30,664.0","37,482.0","44,534.0","53,704.0","60,912.0","67,400.0","72,492.0","83,706.0","94,596.0","101,043.0","100,759.0","105,103.0","117,003.0","121,951.0","123,123.0","118,949.0","117,104.0","125,904.0","146,333.0","162,670.0","174,851.0","183,884.0","190,119.0","216,115.0","218,496.0","206,112.0","200,678.0","209,974.0","232,810.0","255,700.0","284,250.0","265,580.0","243,436.0"
"37","18","    Nonprofit institutions","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0"
"38","19","  Government","W500RC1","20,669.0","23,363.0","24,471.0","26,306.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","211,490.0","226,119.0","236,506.0","253,697.0","276,925.0","297,843.0","314,607.0","316,297.0","318,103.0","327,100.0","358,280.0","368,111.0","373,713.0","375,286.0","362,002.0","366,307.0","344,455.0","317,491.0","304,807.0","313,306.0","350,476.0","379,720.0","420,956.0","405,214.0","374,266.0"
"39","20","    Federal","A091RC1","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,293.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,455.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","212,871.0","220,962.0","255,396.0","279,198.0","313,160.0","291,167.0","253,962.0"
"40","21","    State and local","W497RC1","4,846.0","5,616.0","6,544.0","7,534.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","42,095.0","47,955.0","51,926.0","54,388.0","57,576.0","60,388.0","63,663.0","65,031.0","64,726.0","65,736.0","67,907.0","70,859.0","73,733.0","76,444.0","79,341.0","83,052.0","85,872.0","88,415.0","91,936.0","92,344.0","95,080.0","100,522.0","107,803.0","114,048.0","120,300.0"
"41","22","  Rest of the world","W290RC1","3,656.0","4,062.0","4,070.0","4,395.0","5,970.0","9,526.0","9,893.0","11,535.0","13,674.0","18,007.0","27,462.0","37,491.0","57,053.0","65,211.0","60,743.0","76,055.0","65,487.0","61,229.0","62,708.0","78,936.0","100,379.0","105,889.0","90,546.0","70,840.0","63,582.0","76,546.0","98,778.0","103,576.0","121,056.0","135,736.0","138,329.0","173,258.0","134,336.0","102,412.0","97,184.0","112,425.0","183,895.0","279,790.0","351,542.0","256,755.0","139,848.0"
"42","23","    To business and persons","B1132C1","2,731.0","3,155.0","3,164.0","3,529.0","5,035.0","8,459.0","8,787.0","10,230.0","12,053.0","16,166.0","25,217.0","35,024.0","53,915.0","61,591.0","56,186.0","71,048.0","60,218.0","55,210.0","57,744.0","72,530.0","95,734.0","97,936.0","85,013.0","65,741.0","59,728.0","73,334.0","94,854.0","99,464.0","117,876.0","132,562.0","135,401.0","169,685.0","131,115.0","99,402.0","92,775.0","109,740.0","181,488.0","277,758.0","349,806.0","255,049.0","138,687.0"
"43","24","    To federal government","B1133C1","925.0","907.0","906.0","866.0","935.0","1,067.0","1,106.0","1,305.0","1,621.0","1,841.0","2,245.0","2,467.0","3,138.0","3,620.0","4,557.0","5,007.0","5,269.0","6,019.0","4,964.0","6,406.0","4,645.0","7,953.0","5,533.0","5,099.0","3,854.0","3,212.0","3,924.0","4,112.0","3,180.0","3,174.0","2,928.0","3,573.0","3,221.0","3,010.0","4,409.0","2,685.0","2,407.0","2,032.0","1,736.0","1,706.0","1,161.0"
"44","25","Monetary interest received","A2068C1","123,383.0","141,758.0","151,022.0","168,569.0","213,535.0","266,990.0","276,131.0","298,217.0","338,109.0","412,828.0","537,851.0","688,211.0","915,482.0","1,028,203.0","1,015,750.0","1,182,438.0","1,263,060.0","1,312,171.0","1,373,710.0","1,545,522.0","1,822,808.0","1,855,486.0","1,752,458.0","1,567,752.0","1,497,325.0","1,621,582.0","1,865,091.0","1,948,552.0","2,110,945.0","2,295,069.0","2,379,884.0","2,796,584.0","2,685,571.0","2,282,557.0","2,147,854.0","2,346,762.0","3,010,109.0","3,871,400.0","4,496,629.0","3,954,617.0","3,240,201.0"
"45","26","  Domestic business \1\","A2069C1","70,918.0","81,273.0","86,072.0","97,265.0","127,565.0","161,911.0","163,654.0","175,550.0","196,452.0","242,895.0","317,174.0","401,360.0","536,207.0","584,269.0","566,526.0","642,115.0","698,950.0","721,909.0","774,070.0","889,884.0","1,062,102.0","1,069,554.0","1,005,528.0","895,021.0","865,373.0","948,279.0","1,132,352.0","1,180,800.0","1,296,918.0","1,397,934.0","1,500,280.0","1,815,531.0","1,730,606.0","1,428,338.0","1,328,130.0","1,543,837.0","1,994,663.0","2,588,830.0","3,002,269.0","2,531,090.0","2,038,764.0"
"46","27","    Corporate business","A2070C1","70,219.0","80,579.0","85,228.0","96,118.0","126,474.0","160,570.0","162,166.0","174,159.0","195,132.0","241,064.0","313,839.0","395,389.0","528,068.0","576,981.0","558,816.0","635,566.0","690,755.0","713,284.0","767,586.0","880,801.0","1,052,772.0","1,059,396.0","995,095.0","886,642.0","856,057.0","936,572.0","1,111,149.0","1,157,817.0","1,268,504.0","1,362,604.0","1,456,748.0","1,755,995.0","1,668,590.0","1,376,393.0","1,273,502.0","1,474,255.0","1,889,727.0","2,435,260.0","2,787,741.0","2,325,778.0","1,891,086.0"
"47","28","      Financial","B1134C1","62,958.0","72,035.0","76,561.0","86,477.0","112,209.0","141,348.0","142,938.0","152,836.0","170,445.0","209,257.0","268,380.0","334,631.0","444,882.0","490,951.0","475,430.0","537,620.0","581,395.0","597,821.0","650,744.0","746,986.0","891,071.0","893,075.0","830,317.0","737,471.0","717,861.0","786,093.0","937,910.0","962,401.0","1,052,888.0","1,156,758.0","1,237,379.0","1,494,637.0","1,423,520.0","1,157,451.0","1,065,998.0","1,253,194.0","1,625,436.0","2,109,976.0","2,438,780.0","2,035,905.0","1,640,715.0"
"48","29","      Nonfinancial","B1135C1","7,261.0","8,544.0","8,667.0","9,641.0","14,265.0","19,222.0","19,228.0","21,323.0","24,687.0","31,807.0","45,459.0","60,758.0","83,186.0","86,030.0","83,386.0","97,946.0","109,360.0","115,463.0","116,842.0","133,816.0","161,701.0","166,321.0","164,779.0","149,171.0","138,195.0","150,479.0","173,239.0","195,416.0","215,616.0","205,846.0","219,370.0","261,358.0","245,070.0","218,942.0","207,504.0","221,061.0","264,291.0","325,284.0","348,961.0","289,873.0","250,371.0"
"49","30","    Financial sole proprietorships and partnerships \4\","B1136C1","677.0","670.0","818.0","1,120.0","1,060.0","1,314.0","1,409.0","1,304.0","1,219.0","1,694.0","3,130.0","5,682.0","7,783.0","6,980.0","7,458.0","6,267.0","7,965.0","8,435.0","6,313.0","8,861.0","9,068.0","9,893.0","10,205.0","8,213.0","9,171.0","11,583.0","21,160.0","22,938.0","28,368.0","35,283.0","43,485.0","59,489.0","61,969.0","51,899.0","54,582.0","69,538.0","104,893.0","153,527.0","214,485.0","205,269.0","147,635.0"
"50","31","    Other private business","B1137C1","22.0","24.0","26.0","27.0","31.0","27.0","79.0","87.0","101.0","137.0","205.0","289.0","356.0","308.0","252.0","282.0","230.0","190.0","171.0","222.0","262.0","265.0","228.0","166.0","146.0","125.0","44.0","45.0","46.0","47.0","47.0","47.0","47.0","46.0","46.0","44.0","43.0","43.0","43.0","43.0","43.0"
