"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"93","71","    Domestic business \1\","W296RC1","-4,557.0","-4,353.0","-3,518.0","-3,938.0","-6,962.0","-8,555.0","-2,250.0","-6,593.0","-8,427.0","-12,672.0","-19,278.0","-24,453.0","-30,642.0","-22,683.0","-9,581.0","-19,743.0","-14,523.0","-17,836.0","-27,718.0","-35,415.0","-41,788.0","-35,676.0","-27,120.0","-26,141.0","-33,495.0","-39,663.0","-44,676.0","-41,758.0","-43,846.0","-46,816.0","-48,531.0","-59,717.0","-57,013.0","-57,001.0","-67,901.0","-69,771.0","-84,263.0","-104,654.0","-96,442.0","-83,672.0","-106,635.0"
"94","72","      Corporate business","W297RC1","-3,821.0","-3,671.0","-2,967.0","-3,319.0","-5,752.0","-6,853.0","-1,766.0","-5,049.0","-6,411.0","-9,572.0","-14,371.0","-18,249.0","-23,188.0","-17,690.0","-7,660.0","-15,891.0","-11,742.0","-14,571.0","-23,198.0","-29,719.0","-34,766.0","-29,565.0","-22,167.0","-21,377.0","-27,538.0","-32,643.0","-36,737.0","-34,114.0","-35,365.0","-37,767.0","-38,919.0","-47,316.0","-44,600.0","-43,596.0","-51,646.0","-52,924.0","-62,694.0","-75,858.0","-68,410.0","-59,755.0","-76,042.0"
"95","73","        Financial","W298RC1","-611.0","-567.0","-497.0","-614.0","-1,088.0","-1,230.0","-266.0","-688.0","-915.0","-1,328.0","-1,950.0","-2,217.0","-2,867.0","-2,005.0","-856.0","-1,802.0","-1,375.0","-1,896.0","-2,297.0","-2,491.0","-3,049.0","-2,822.0","-2,428.0","-3,100.0","-3,955.0","-4,154.0","-4,339.0","-4,136.0","-4,735.0","-5,827.0","-5,700.0","-6,620.0","-5,549.0","-5,823.0","-7,481.0","-8,469.0","-10,324.0","-17,621.0","-15,468.0","-11,838.0","-12,382.0"
"96","74","        Nonfinancial","W300RC1","-3,210.0","-3,104.0","-2,470.0","-2,705.0","-4,664.0","-5,623.0","-1,500.0","-4,361.0","-5,496.0","-8,244.0","-12,421.0","-16,032.0","-20,321.0","-15,685.0","-6,804.0","-14,089.0","-10,367.0","-12,675.0","-20,901.0","-27,228.0","-31,717.0","-26,743.0","-19,739.0","-18,277.0","-23,583.0","-28,489.0","-32,398.0","-29,978.0","-30,630.0","-31,940.0","-33,219.0","-40,696.0","-39,051.0","-37,773.0","-44,165.0","-44,455.0","-52,370.0","-58,237.0","-52,942.0","-47,917.0","-63,660.0"
"97","75","      Sole proprietorships and partnerships","W301RC1","-555.0","-519.0","-417.0","-461.0","-933.0","-1,363.0","-391.0","-1,255.0","-1,638.0","-2,527.0","-4,050.0","-5,157.0","-6,259.0","-4,215.0","-1,617.0","-3,232.0","-2,314.0","-2,654.0","-3,588.0","-4,403.0","-5,333.0","-4,550.0","-3,623.0","-3,530.0","-4,448.0","-5,299.0","-6,045.0","-5,957.0","-6,818.0","-7,409.0","-7,996.0","-10,383.0","-10,571.0","-11,401.0","-13,537.0","-13,828.0","-17,860.0","-24,323.0","-23,849.0","-20,413.0","-25,706.0"
"98","76","        Farm","W302RC1","-269.0","-251.0","-208.0","-233.0","-402.0","-484.0","-133.0","-452.0","-603.0","-853.0","-1,247.0","-1,527.0","-1,803.0","-1,277.0","-543.0","-1,055.0","-669.0","-666.0","-778.0","-884.0","-1,016.0","-858.0","-725.0","-720.0","-910.0","-1,096.0","-1,193.0","-1,091.0","-1,101.0","-1,135.0","-1,076.0","-1,218.0","-1,146.0","-1,131.0","-1,263.0","-1,261.0","-1,428.0","-1,702.0","-1,504.0","-1,171.0","-1,576.0"
"99","77","        Nonfarm","W303RC1","-286.0","-268.0","-209.0","-228.0","-531.0","-879.0","-258.0","-803.0","-1,035.0","-1,674.0","-2,803.0","-3,630.0","-4,456.0","-2,938.0","-1,074.0","-2,177.0","-1,645.0","-1,988.0","-2,810.0","-3,519.0","-4,317.0","-3,692.0","-2,898.0","-2,810.0","-3,538.0","-4,203.0","-4,852.0","-4,866.0","-5,717.0","-6,274.0","-6,920.0","-9,165.0","-9,425.0","-10,270.0","-12,274.0","-12,567.0","-16,432.0","-22,621.0","-22,345.0","-19,242.0","-24,130.0"
"100","78","      Other private business","W304RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,183.0","-3,504.0","-4,887.0"
"101","79","        Rental income of persons and proprietors' income","W359RC1","-181.0","-163.0","-134.0","-158.0","-277.0","-339.0","-93.0","-289.0","-378.0","-573.0","-857.0","-1,047.0","-1,195.0","-778.0","-304.0","-620.0","-467.0","-611.0","-932.0","-1,293.0","-1,689.0","-1,561.0","-1,330.0","-1,234.0","-1,509.0","-1,721.0","-1,894.0","-1,687.0","-1,663.0","-1,640.0","-1,616.0","-2,018.0","-1,842.0","-2,004.0","-2,718.0","-3,019.0","-3,709.0","-4,473.0","-4,183.0","-3,504.0","-4,887.0"
"102","80","    Households and nonprofit institutions","W305RC1","-2,591.0","-2,354.0","-1,924.0","-2,250.0","-3,911.0","-4,608.0","-1,272.0","-4,114.0","-5,528.0","-8,617.0","-13,244.0","-16,451.0","-19,325.0","-13,305.0","-5,479.0","-10,992.0","-8,310.0","-10,423.0","-14,928.0","-19,092.0","-23,536.0","-20,470.0","-16,539.0","-16,299.0","-21,791.0","-27,260.0","-32,981.0","-31,866.0","-32,556.0","-32,449.0","-31,966.0","-39,496.0","-37,572.0","-40,097.0","-52,500.0","-57,459.0","-69,878.0","-85,110.0","-78,624.0","-62,522.0","-84,146.0"
"103","81","      Households","W306RC1","-2,518.0","-2,286.0","-1,868.0","-2,183.0","-3,792.0","-4,462.0","-1,232.0","-3,985.0","-5,362.0","-8,363.0","-12,863.0","-15,960.0","-18,717.0","-12,855.0","-5,278.0","-10,549.0","-7,961.0","-9,946.0","-14,159.0","-18,096.0","-22,275.0","-19,365.0","-15,627.0","-15,424.0","-20,718.0","-26,073.0","-31,678.0","-30,638.0","-31,293.0","-31,156.0","-30,582.0","-37,719.0","-35,799.0","-38,140.0","-50,060.0","-54,832.0","-66,613.0","-80,956.0","-74,808.0","-59,381.0","-79,793.0"
"104","82","        Owner-occupied housing","W307RC1","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-2,753.0","-3,401.0","-5,088.0","-6,989.0","-9,133.0","-8,712.0","-7,460.0","-7,761.0","-10,610.0","-13,170.0","-15,918.0","-15,276.0","-16,121.0","-16,726.0","-16,967.0","-21,912.0","-21,038.0","-23,302.0","-32,051.0","-35,147.0","-44,637.0","-55,338.0","-51,451.0","-40,038.0","-53,171.0"
"105","83","        Persons","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-5,207.0","-6,536.0","-9,071.0","-11,107.0","-13,142.0","-10,653.0","-8,167.0","-7,663.0","-10,108.0","-12,903.0","-15,760.0","-15,362.0","-15,172.0","-14,430.0","-13,615.0","-15,807.0","-14,761.0","-14,838.0","-18,009.0","-19,685.0","-21,976.0","-25,618.0","-23,357.0","-19,343.0","-26,622.0"
"106","84","      Nonprofit institutions","W309RC1","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-349.0","-477.0","-769.0","-996.0","-1,261.0","-1,105.0","-912.0","-875.0","-1,073.0","-1,187.0","-1,303.0","-1,228.0","-1,263.0","-1,293.0","-1,384.0","-1,777.0","-1,773.0","-1,957.0","-2,440.0","-2,627.0","-3,265.0","-4,154.0","-3,816.0","-3,141.0","-4,353.0"
"107","85","    Government","W310RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,778.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,697.0","-5,799.0","-12,294.0"
"108","86","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","87","      State and local","W312RC1","-462.0","-303.0","0.0","-33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2,720.0","-9,774.0","-5,734.0","-5,969.0","-4,398.0","-3,630.0","-2,864.0","-3,997.0","-5,355.0","-4,343.0","-4,430.0","-3,539.0","-3,095.0","-3,671.0","-4,123.0","-4,298.0","-2,913.0","-4,935.0","-6,792.0","-6,732.0","-7,754.0","-7,519.0","-6,697.0","-5,799.0","-12,294.0"
"110","88","    Rest of the world","W313RC1","-159.0","-136.0","-107.0","-147.0","-299.0","-434.0","-131.0","-495.0","-666.0","-1,160.0","-2,125.0","-2,709.0","-3,618.0","-1,428.0","-538.0","-913.0","-497.0","-538.0","-653.0","-673.0","-733.0","-530.0","-429.0","-499.0","-650.0","-737.0","-906.0","-1,078.0","-1,227.0","-1,393.0","-1,439.0","-1,760.0","-1,681.0","-1,685.0","-1,896.0","-1,823.0","-2,239.0","-3,019.0","-2,456.0","-2,294.0","-2,787.0"
"111","89","  Imputed interest received","W360RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,219.0","-154,287.0","-205,862.0"
"112","90","    Domestic corporate business, financial","W361RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,219.0","-154,287.0","-205,862.0"
"113","91","      Banks, credit agencies, and investment companies","W362RC1","-7,769.0","-7,146.0","-5,550.0","-6,368.0","-11,171.0","-13,598.0","-3,654.0","-11,202.0","-14,620.0","-22,451.0","-34,648.0","-43,612.0","-53,585.0","-37,416.0","-15,597.0","-31,648.0","-26,051.0","-38,576.0","-49,031.0","-61,149.0","-70,455.0","-60,305.0","-46,951.0","-46,937.0","-61,291.0","-72,003.0","-82,992.0","-78,241.0","-80,724.0","-84,327.0","-86,058.0","-105,270.0","-99,178.0","-103,717.0","-129,089.0","-135,783.0","-164,134.0","-200,303.0","-184,219.0","-154,287.0","-205,862.0"
"114",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","92","  Net interest (93+97+98+99)","B060RC1","31,759.0","38,067.0","42,621.0","46,552.0","53,668.0","68,963.0","79,674.0","83,485.0","98,899.0","112,603.0","135,434.0","176,368.0","225,546.0","263,800.0","277,581.0","318,283.0","332,659.0","358,417.0","358,977.0","378,873.0","427,873.0","437,457.0","410,932.0","380,406.0","357,367.0","354,970.0","351,313.0","362,470.0","398,306.0","470,782.0","472,741.0","527,858.0","531,421.0","494,940.0","490,077.0","446,317.0","526,244.0","634,281.0","712,810.0","789,627.0","764,986.0"
"116","93","    Domestic business (2+44+71-26-50-90)","A1626C1","17,178.0","22,170.0","23,952.0","25,702.0","30,966.0","42,273.0","47,814.0","45,639.0","53,527.0","61,593.0","75,504.0","103,063.0","135,121.0","155,617.0","156,735.0","185,070.0","194,273.0","213,312.0","213,336.0","225,729.0","267,242.0","261,006.0","231,392.0","195,821.0","181,309.0","187,261.0","175,205.0","182,847.0","216,627.0","278,343.0","269,280.0","312,006.0","303,238.0","241,723.0","219,036.0","168,665.0","225,999.0","309,759.0","382,976.0","455,919.0","435,597.0"
"117","94","      Corporate (3+44+72-27-51-90)","W499RC1","6,799.0","10,207.0","10,206.0","9,965.0","11,478.0","18,902.0","21,458.0","16,746.0","21,151.0","25,095.0","31,454.0","50,475.0","70,960.0","82,705.0","78,867.0","90,047.0","88,050.0","97,653.0","99,975.0","101,359.0","123,752.0","119,013.0","95,350.0","73,274.0","66,234.0","67,773.0","57,677.0","60,653.0","85,579.0","133,639.0","130,352.0","155,227.0","141,247.0","104,739.0","85,356.0","33,288.0","44,811.0","102,473.0","145,399.0","255,822.0","260,544.0"
"118","95","      Sole proprietorships and partnerships (8+75-30-54)","B1649C1","5,058.0","6,049.0","7,177.0","8,409.0","11,227.0","14,002.0","15,484.0","17,090.0","19,291.0","22,146.0","28,074.0","34,511.0","43,974.0","50,814.0","54,098.0","68,636.0","76,210.0","81,832.0","77,283.0","85,801.0","101,873.0","98,724.0","91,909.0","82,408.0","79,852.0","86,549.0","85,249.0","90,742.0","99,792.0","113,494.0","106,694.0","122,715.0","127,428.0","101,612.0","98,106.0","96,902.0","139,030.0","160,343.0","186,103.0","143,955.0","119,215.0"
"119","96","      Other private business (11+78-31-57)","B1657C1","5,321.0","5,914.0","6,569.0","7,327.0","8,261.0","9,369.0","10,873.0","11,802.0","13,085.0","14,352.0","15,975.0","18,077.0","20,186.0","22,097.0","23,770.0","26,387.0","30,014.0","33,827.0","36,078.0","38,569.0","41,617.0","43,269.0","44,133.0","40,139.0","35,222.0","32,938.0","32,278.0","31,452.0","31,256.0","31,210.0","32,234.0","34,064.0","34,564.0","35,371.0","35,574.0","38,475.0","42,158.0","46,943.0","51,474.0","56,142.0","55,838.0"
"120","97","    Owner-occupied housing (16+82-60)","W318RC1","14,516.0","15,945.0","18,182.0","20,978.0","24,021.0","27,512.0","32,055.0","36,082.0","42,617.0","50,308.0","60,191.0","71,539.0","83,269.0","99,280.0","112,734.0","125,567.0","142,241.0","156,564.0","165,931.0","176,170.0","190,150.0","205,045.0","211,933.0","213,628.0","204,712.0","204,917.0","221,901.0","231,330.0","246,223.0","257,675.0","276,056.0","303,248.0","324,928.0","341,164.0","348,211.0","371,936.0","423,854.0","491,151.0","538,911.0","551,354.0","517,768.0"
"121","98","    Nonprofit institutions (18+84)","B1131C1","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,489.0","8,620.0","8,710.0","9,731.0","10,404.0","10,765.0","11,416.0","11,940.0","13,771.0","12,666.0","13,407.0","14,468.0","15,158.0","15,646.0","15,906.0","15,794.0","15,826.0","15,248.0","14,189.0","13,387.0","12,277.0","11,184.0","11,431.0","11,764.0","9,839.0"
"122","99","    Rest of the world (22+48+88-38-69)","A1627C1","-502.0","-730.0","-282.0","-971.0","-2,266.0","-1,926.0","-1,583.0","336.0","1,241.0","-1,189.0","-2,603.0","-1,188.0","3,412.0","4,116.0","2,202.0","-68.0","-11,344.0","-20,079.0","-29,000.0","-32,757.0","-39,923.0","-39,359.0","-43,809.0","-40,983.0","-42,425.0","-49,874.0","-59,200.0","-66,175.0","-79,702.0","-80,882.0","-88,501.0","-103,190.0","-112,571.0","-103,195.0","-91,359.0","-107,671.0","-135,886.0","-177,813.0","-220,508.0","-229,410.0","-198,218.0"
"123","100","  Net interest paid by government (19+85-35-66)","A085RC1","14,147.0","15,919.0","16,773.0","18,082.0","21,310.0","23,069.0","25,885.0","32,088.0","34,666.0","39,542.0","45,668.0","54,697.0","73,416.0","87,495.0","99,504.0","121,913.0","133,760.0","135,496.0","152,982.0","164,425.0","185,265.0","203,190.0","222,343.0","230,468.0","233,746.0","244,752.0","270,016.0","274,594.0","277,786.0","279,109.0","261,644.0","256,002.0","241,316.0","225,649.0","216,932.0","223,600.0","249,908.0","263,119.0","291,435.0","278,853.0","240,484.0"
"124","101","  Personal interest payments (17+83)","B069RC1","13,990.0","15,213.0","16,551.0","18,140.0","19,805.0","21,152.0","23,692.0","23,904.0","27,018.0","31,903.0","36,201.0","43,622.0","49,336.0","59,495.0","69,214.0","77,042.0","89,389.0","94,507.0","91,688.0","93,996.0","103,861.0","111,298.0","114,956.0","111,286.0","106,996.0","113,001.0","130,573.0","147,308.0","159,679.0","169,454.0","176,504.0","200,308.0","203,735.0","191,274.0","182,669.0","190,289.0","210,834.0","230,082.0","260,893.0","246,237.0","216,814.0"
"125","102","  Personal interest income (92+100+101) or (32+61+65)","A064RC1","59,896.0","69,199.0","75,945.0","82,774.0","94,783.0","113,184.0","129,251.0","139,477.0","160,583.0","184,048.0","217,303.0","274,687.0","348,298.0","410,790.0","446,299.0","517,238.0","555,831.0","588,423.0","603,648.0","637,297.0","716,996.0","751,945.0","748,233.0","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0","1,265,145.0","1,314,717.0","1,222,280.0"
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","1. Excludes interest paid or received by government enterprises, which is included in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","banks, savings and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","4. Interest received by nonfinancial sole proprietorships and partnerships is considered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","interest received by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","5. Beginning with October 2002, includes the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","6. Includes nonprofit institutions primarily serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Note. In this table, imputed interest paid (line 41) is the sum of (1) premium supplements paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","to property and casualty insurance carriers by households and institutions, governments,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","domestic business, and the rest of the world as a measure of imputed services provided to these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","sectors by the property and casualty insurance providers, (2) the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","property income received by financial intermediaries from the investment of depositors' or",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","beneficiaries' funds and the interest paid by them to business, households and institutions,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","governments, and the rest of the world, and (3) the imputed services provided to these sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","in the role of borrowers of financial services; these services are included as negative amounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","paid by the borrowers and received by the financial intermediaries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
