"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Billions of dollars; quarterly totals not seasonally adjusted];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 07, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:23:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Current receipts","W023RU1",3.5,3.7,3.8,3.9,4,4.1,4.2,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.1,5.1,5.4,5.4,5.4,5.6,5.7,5.9,6,6.1,6,6.5,6.4,6.5,6.5,6.7,6.8,6.9,6.9,7.4,7.4,7.7,7.8,8.1,8.2,8.3,8.5,8.8,8.8,8.9,8.8,9.3,9.3,9.7,9.4,10.7,9,11.5,10.3,11.9,9.7,12.5,11.1,12.7,10.5,13.7,12.1,13.7,11.4,14.8,13,14.6,12.4,16.1,14.6,15.7,13.7,17.3,15.1,17.3,14.8,19.2,17.3,19.7,16.9,21,19,20.7,19.2,23.7,21.4,24.6,21.1,26.5,24,26.7,24.9,29.8
"10","2","Current tax receipts","W070RU1",2.9,3,3,3.2,3.3,3.4,3.4,3.5,3.6,3.8,3.7,3.8,4,4,4.2,4.2,4.5,4.5,4.5,4.6,4.8,4.9,4.9,5.1,5.1,5.4,5.3,5.4,5.4,5.6,5.5,5.7,5.8,6.2,6.1,6.3,6.5,6.8,6.8,6.9,7,7.4,7.2,7.3,7.4,7.8,7.6,7.8,7.8,9.2,7.1,9.8,8.5,10,7.8,10.7,9.1,10.7,8.4,11.6,9.8,11.5,9,12.5,10.5,12.1,9.7,13.4,11.7,12.9,10.7,14.4,12.2,14,11.6,16,13.5,15.5,12.8,16.9,14.6,16.2,14.3,18.9,16.7,19,16.2,21.5,18.8,20.8,19.1,23.7
"11","3","  Personal current taxes","W071RU1",0.3,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.4,0.4,0.3,0.2,0.5,0.4,0.3,0.3,0.6,0.5,0.4,0.3,0.6,0.5,0.4,0.4,0.6,0.6,0.4,0.4,0.6,0.6,0.5,0.4,0.7,0.7,0.5,0.5,0.8,0.8,0.6,0.5,0.8,0.9,0.6,0.6,0.9,1,0.6,0.6,1,1.3,0.7,0.8,1.1,1.4,0.7,0.9,1.2,1.5,0.8,1,1.3,1.7,0.9,1.1,1.5,1.8,1,1.2,1.8,1.9,1.1,1.3,1.7,2.1,1.3,1.5,2,2.5,1.6,1.7,2.2,2.6,1.8,2,2.7,3.4,2.2,2.4,3.1,3.9,2.7,3.1
"12","4","  Taxes on production and imports","W072RU1",2.4,2.6,2.7,2.8,2.8,2.9,3,3.1,3,3.2,3.3,3.4,3.3,3.5,3.7,3.7,3.7,3.8,3.9,4.1,4,4.2,4.3,4.5,4.4,4.6,4.7,4.8,4.6,4.8,4.9,5,4.9,5.2,5.4,5.6,5.5,5.8,5.9,6.1,6,6.3,6.4,6.5,6.3,6.6,6.7,6.9,6.5,7.6,6.2,8.6,7.1,8.2,6.7,9.4,7.6,8.8,7.2,10.2,8.1,9.4,7.7,11,8.7,9.9,8.3,11.8,9.5,10.5,9.2,12.6,10,11.4,9.8,14,11,12.5,10.6,14.7,11.8,12.9,11.9,16.2,13.3,14.8,13.2,18.2,14.8,16,15.6,19.7
"13","5","  Taxes on corporate income","B102RU1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.9,0.8,0.9,0.9,1,0.9,0.9
"14","6","Contributions for government social insurance","B104RU1",0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"15","7","Income receipts on assets","W074RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2
"16","8","Current transfer receipts","W075RU1",0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.7,0.5,0.8,0.7,0.8,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.7,0.9,0.9,0.8,0.8,1,1,0.8,0.9,1.1,1.3,1,0.9,1.2,1,1,1.1,1.2,1.1,1.3,1.3,1.4,1.3,1.4,1.4,1.5,1.4,1.6,1.5,1.7,1.6,1.8,1.8,1.9,1.8,1.8,2.1,2.1,2,2.5,2.9,2.9,2.8,3.1,3.2,3.5,3.4,3.3,4.1,3.4,3.4,3.6,4.3,4.1,4.3
"17","9","  Federal grants-in-aid","B089RU1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.6,0.7,0.9,1.1,0.9,0.8,1.1,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.1,1.3,1.2,1.4,1.2,1.4,1.3,1.5,1.4,1.6,1.6,1.7,1.6,1.6,1.9,1.8,1.8,2.3,2.7,2.6,2.5,2.8,2.8,3.1,3,2.9,3.7,3,3.1,3.2,3.9,3.7,3.9
"18","10","  From business (net)","W076RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"19","11","  From persons","B246RU1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
"20","12","Current surplus of government enterprises","B115RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"21","13","    Current expenditures","W024RU1",3.1,3.3,3.5,3.6,3.8,3.8,3.9,4,4.1,4.1,4.3,4.4,4.6,4.7,4.7,4.7,4.7,4.8,4.9,5,5,5.3,5.2,5.3,5.4,5.4,5.6,5.6,5.7,5.8,6,6.1,6.3,6.4,6.5,6.6,6.7,6.9,7.1,7.3,7.4,7.6,7.8,8,8.3,8.5,8.6,8.8,9,9.1,9.3,9.4,9.8,10,10.1,10.3,10.6,10.9,11,11.3,11.5,11.6,11.7,11.9,12.2,12.4,12.7,13,13.3,13.6,13.8,14.1,14.5,14.8,15.2,15.5,16,16.5,17,17.6,17.9,18.5,19.2,19.9,20.5,21.2,21.8,22.5,23.2,23.9,24.7,25.6
"22","14","Consumption expenditures","A991RU1",2.6,2.7,2.8,2.9,2.9,3,3.1,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.8,3.8,3.9,4,4.1,4.1,4.1,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.7,4.9,5,5.1,5.3,5.3,5.4,5.5,5.6,5.8,5.9,6.1,6.2,6.4,6.6,6.7,6.9,7.1,7.2,7.4,7.5,7.6,7.7,7.9,8.1,8.3,8.5,8.6,8.9,9.1,9.2,9.4,9.5,9.7,9.8,10,10.2,10.4,10.6,10.8,11.1,11.3,11.6,11.8,12.1,12.4,12.7,13,13.4,13.8,14.2,14.7,15,15.4,15.9,16.3,16.9,17.3,17.8,18.4,19,19.6,20.3,21
"23","15","Government social benefit payments to persons","B109RU1",0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.9,1.9,2,2.1,2.3,2.3,2.5,2.7,2.9,2.9,3,3.2,3.2,3.3,3.5
"24","16","Interest payments","B111RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,1,1.1,1,1,1.1,1.1,1,1.1,1.1,1.2
"25","17","Subsidies","B114RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","18","Less: Wage accruals less disbursements","B116RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","19","    Net state and local government saving","A924RU1",0.4,0.4,0.3,0.4,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.4,0.4,0.7,0.7,0.6,0.7,0.7,0.6,0.8,0.8,0.6,1.1,0.8,0.9,0.8,0.9,0.7,0.8,0.6,0.9,0.9,1,1,1.2,1.1,1.1,1.1,1.2,1,0.9,0.6,0.8,0.6,0.9,0.3,1.6,-0.2,2,0.6,1.9,-0.4,2.2,0.5,1.8,-0.5,2.4,0.6,2.1,-0.3,2.8,0.8,2.1,-0.3,3.1,1.2,2.1,-0.1,3.2,0.7,2.5,-0.3,3.7,1.3,3.2,-0.1,3.4,1,2.2,0,3.8,0.9,3.4,-0.7,3.9,0.8,2.8,0.2,4.1
"28",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","  Gross government investment","A799RU1",0.4,0.7,0.9,0.8,0.6,1,1.3,1.1,0.9,1.4,1.7,1.4,1.1,1.4,1.8,1.6,1.3,1.8,2.1,1.8,1.4,1.9,2.2,1.8,1.5,1.9,2.4,2.1,1.7,2.3,2.9,2.3,1.8,2.6,3.1,2.5,2,2.9,3.5,2.9,2.4,3.2,3.7,3.2,2.5,3.4,4.1,3.6,2.8,3.6,4.1,3.4,2.6,3.5,4.2,3.7,2.9,3.7,4.4,4.1,3.1,3.8,4.6,4.3,3.2,4.5,5.3,4.5,3.5,5,5.7,4.7,3.8,5.3,6.2,5.5,4.4,6,6.7,6,5,6.7,7.2,6.4,5.5,7.3,7.9,7,6,7.6,8,6.7
"30","21","  Consumption of fixed capital","A919RU1",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2,2.1,2.1,2.2,2.2,2.3,2.4,2.4
