"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 22, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/21/2011 2:38:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic product","A191RC1","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,212.0","11,853,254.0","12,622,959.0","13,377,215.0","14,028,675.0","14,291,543.0","13,938,950.0","14,526,547.0"
"20","2","Personal consumption expenditures","DPCERC1","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,120.0","8,270,574.0","8,803,526.0","9,300,999.0","9,772,270.0","10,035,524.0","9,866,119.0","10,245,518.0"
"21","3","  Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,110,021.0","2,289,994.0","2,459,132.0","2,534,006.0","2,609,957.0","2,728,045.0","2,892,117.0","3,076,728.0","3,224,733.0","3,363,945.0","3,381,677.0","3,197,468.0","3,387,001.0"
"22","4","    Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","780,006.0","857,356.0","915,778.0","946,347.0","992,102.0","1,019,918.0","1,072,866.0","1,123,352.0","1,154,973.0","1,188,447.0","1,108,861.0","1,029,628.0","1,085,484.0"
"23","5","    Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,330,015.0","1,432,638.0","1,543,354.0","1,587,659.0","1,617,855.0","1,708,127.0","1,819,251.0","1,953,376.0","2,069,760.0","2,175,498.0","2,272,816.0","2,167,840.0","2,301,517.0"
"24","6","  Services","DSERRC1","300,447.0","329,507.0","359,497.0","396,415.0","435,377.0","481,393.0","542,454.0","604,949.0","677,440.0","764,054.0","853,229.0","956,034.0","1,070,133.0","1,176,203.0","1,314,796.0","1,437,383.0","1,580,002.0","1,701,117.0","1,840,664.0","2,012,748.0","2,170,687.0","2,344,151.0","2,482,638.0","2,673,622.0","2,841,247.0","3,004,252.0","3,171,748.0","3,355,935.0","3,563,862.0","3,808,467.0","4,052,790.0","4,371,239.0","4,614,801.0","4,829,234.0","5,076,075.0","5,378,457.0","5,726,798.0","6,076,266.0","6,408,325.0","6,653,847.0","6,668,651.0","6,858,517.0"
"25","7","Gross private domestic investment","A006RC1","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,656.0","1,968,557.0","2,172,282.0","2,327,135.0","2,295,233.0","2,087,587.0","1,546,814.0","1,795,127.0"
"26","8","  Fixed investment","A007RC1","147,271.0","150,377.0","169,912.0","198,501.0","228,611.0","235,428.0","236,475.0","274,844.0","339,016.0","412,162.0","474,891.0","485,583.0","542,572.0","532,146.0","570,051.0","670,218.0","714,357.0","739,948.0","757,802.0","803,089.0","847,255.0","846,421.0","803,285.0","848,458.0","932,531.0","1,033,504.0","1,112,887.0","1,209,424.0","1,317,658.0","1,447,065.0","1,580,692.0","1,717,666.0","1,700,211.0","1,634,930.0","1,713,281.0","1,903,647.0","2,122,329.0","2,267,180.0","2,266,110.0","2,128,706.0","1,707,623.0","1,728,180.0"
"27","9","    Nonresidential","A008RC1","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,637,453.0","1,656,294.0","1,352,958.0","1,390,079.0"
"28","10","      Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","524,884.0","586,304.0","449,936.0","374,413.0"
"29","11","      Equipment and software","B010RC1","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,112,569.0","1,069,990.0","903,022.0","1,015,666.0"
"30","12","    Residential","A011RC1","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,603.0","680,613.0","775,004.0","761,850.0","628,657.0","472,412.0","354,665.0","338,101.0"
"31","13","  Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-160,809.0","66,947.0"
"32","14","Net exports of goods and services","A019RC1","1,432.0","3,950.0","621.0","-3,372.0","4,110.0","-815.0","15,977.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,527.0","-19,980.0","-51,650.0","-102,731.0","-115,209.0","-132,533.0","-144,950.0","-110,108.0","-87,889.0","-77,606.0","-26,960.0","-32,832.0","-64,388.0","-92,725.0","-90,690.0","-96,301.0","-101,355.0","-161,827.0","-262,078.0","-382,050.0","-370,988.0","-427,175.0","-504,114.0","-618,695.0","-722,731.0","-769,315.0","-713,071.0","-709,712.0","-391,515.0","-516,897.0"
"33","15","  Exports","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,661,699.0","1,846,774.0","1,583,049.0","1,839,805.0"
"34","16","    Goods","A253RC1","38,262.0","44,546.0","45,557.0","51,795.0","73,924.0","100,981.0","109,629.0","117,770.0","123,653.0","145,401.0","184,041.0","225,781.0","239,097.0","215,001.0","207,293.0","225,627.0","222,241.0","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","697,193.0","784,345.0","731,228.0","700,313.0","726,834.0","816,981.0","906,088.0","1,024,390.0","1,162,034.0","1,297,486.0","1,064,670.0","1,277,775.0"
"35","17","    Services","A646RC1","13,661.0","15,164.0","17,406.0","19,049.0","21,345.0","25,669.0","29,077.0","31,745.0","35,697.0","41,484.0","46,088.0","54,992.0","66,135.0","68,202.0","69,695.0","76,749.0","79,778.0","94,332.0","106,217.0","118,099.0","133,789.0","155,486.0","173,022.0","187,009.0","195,652.0","210,636.0","228,602.0","249,335.0","266,727.0","273,003.0","292,121.0","308,896.0","296,497.0","302,713.0","314,199.0","363,243.0","398,972.0","446,642.0","499,665.0","549,288.0","518,379.0","562,030.0"
"36","18","  Imports","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,374,770.0","2,556,486.0","1,974,564.0","2,356,702.0"
"37","19","    Goods","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","2,000,748.0","2,146,349.0","1,587,252.0","1,947,310.0"
"38","20","    Services","B656RC1","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","203,702.0","228,791.0","227,033.0","236,325.0","255,887.0","297,253.0","319,810.0","355,417.0","374,022.0","410,137.0","387,312.0","409,392.0"
"39","21","Government consumption expenditures and gross investment","A822RC1","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,674,243.0","2,878,144.0","2,917,532.0","3,002,799.0"
"40","22","  Federal","A823RC1","113,281.0","113,413.0","113,632.0","119,628.0","122,451.0","134,543.0","149,032.0","159,703.0","175,402.0","190,903.0","210,560.0","243,717.0","280,178.0","310,765.0","342,851.0","374,275.0","412,750.0","438,444.0","459,537.0","461,577.0","481,437.0","507,490.0","526,561.0","532,910.0","524,977.0","518,579.0","518,768.0","526,988.0","530,959.0","531,018.0","554,926.0","576,077.0","611,689.0","680,637.0","756,479.0","824,643.0","876,300.0","931,691.0","976,341.0","1,080,110.0","1,142,712.0","1,222,838.0"
"41","23","    National defense","A824RC1","89,491.0","87,604.0","84,557.0","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0","662,299.0","737,819.0","774,916.0","819,192.0"
"42","24","    Nondefense","A825RC1","23,790.0","25,809.0","29,075.0","32,696.0","34,317.0","38,979.0","45,133.0","48,616.0","54,513.0","60,417.0","65,378.0","75,758.0","83,948.0","84,874.0","92,262.0","92,747.0","101,569.0","107,640.0","109,558.0","106,849.0","119,348.0","133,607.0","143,447.0","156,124.0","161,972.0","164,803.0","169,969.0","172,165.0","181,118.0","184,943.0","193,789.0","205,030.0","218,735.0","242,933.0","258,539.0","273,858.0","287,253.0","306,835.0","314,042.0","342,291.0","367,796.0","403,646.0"
"43","25","  State and local","A829RC1","108,150.0","120,284.0","132,783.0","143,791.0","159,206.0","183,374.0","208,684.0","223,297.0","238,658.0","262,651.0","290,172.0","322,404.0","347,299.0","369,682.0","390,529.0","422,645.0","466,140.0","510,891.0","539,856.0","577,326.0","619,160.0","674,222.0","709,529.0","740,551.0","769,822.0","811,212.0","855,253.0","893,970.0","943,475.0","995,032.0","1,076,344.0","1,154,874.0","1,234,731.0","1,302,706.0","1,356,071.0","1,408,175.0","1,493,582.0","1,586,705.0","1,697,902.0","1,798,034.0","1,774,820.0","1,779,961.0"
