"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:51:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Private fixed investment in equipment and software","B327RA3",11.568,11.47,11.604,13.115,15.507,15.901,14.394,15.292,17.581,20.241,22.011,21.231,22.12,20.974,22.122,26.478,28.166,28.726,29.132,31.309,33.57,33.566,32.697,35.061,39.389,44.031,49.247,54.423,61.83,70.763,80.753,89.182,86.347,82.765,85.378,92.168,100,107.543,111.078,106.33,88.92,96.816,107.413
"9","2","Nonresidential equipment and software","B010RA3",11.513,11.399,11.512,12.997,15.381,15.774,14.272,15.164,17.449,20.106,21.861,21.075,21.971,20.829,21.95,26.303,27.974,28.504,28.895,31.074,33.351,33.361,32.504,34.873,39.226,43.904,49.158,54.383,61.861,70.837,80.857,89.32,86.438,82.789,85.377,92.138,100,107.59,111.168,106.411,88.911,96.822,107.473
"10","3","  Information processing equipment and software","B679RA3",1.168,1.318,1.406,1.613,1.9,2.18,2.172,2.469,2.993,3.865,4.677,5.461,6.319,6.781,7.896,10.016,11.15,12.06,12.808,14.247,16.226,17.093,17.96,20.727,23.458,26.418,31,37.139,45.79,56.21,68.849,81.257,80.904,78.663,84.938,93.222,100,108.641,117.446,119.864,114.961,120.283,126.294
"11","4","    Computers, software, and communication","W175RA3",0.529,0.616,0.657,0.739,0.851,0.956,0.964,1.116,1.435,1.923,2.492,3.092,3.695,4.072,4.836,6.372,7.405,8.163,9.139,10.471,12.075,12.888,13.66,16.265,18.663,21.777,26.806,33.287,42.962,54.153,69.227,83.187,82.353,78.78,84.908,93.854,100,109.799,119.494,122.806,119.576,124.993,131.599
"12","5","      Computers and peripheral equipment","B935RA3",0.008,0.009,0.013,0.02,0.021,0.028,0.028,0.041,0.061,0.121,0.196,0.309,0.482,0.593,0.9,1.472,1.848,2.125,2.67,3.051,3.71,3.667,3.982,5.447,6.981,8.675,13.082,18.89,27.392,39.82,56.577,68.606,70.317,73.717,80.31,89.491,100,123.128,140.394,151.481,142.669,147.033,165.101
"13","6","      Software \1\","B985RA3",0.636,0.812,0.863,1.013,1.152,1.347,1.579,1.716,1.788,2.119,2.638,3.113,3.619,4.178,4.925,6.227,7.396,8.274,9.432,11.244,14.489,17.077,19.342,22.724,25.408,27.905,30.695,36.013,46.632,56.345,69.493,79.1,79.669,79.56,85.125,93.861,100,104.185,110.481,115.026,115.984,118.97,127.154
"14","7","      Communication equipment \2\","B275RA3",7.847,8.616,8.369,7.96,9.521,9.738,9.154,9.938,13.232,15.544,18.389,20.56,21.347,21.444,21.341,23.857,25.455,26.774,26.708,29.763,29.679,30.767,29.605,31.575,33.636,39.883,45.955,52.197,59.471,68.663,83.336,107.967,101.039,82.107,89.033,98.238,100,112.737,125.458,119.081,107.312,120.849,113.826
"15","8","    Medical equipment and instruments","W176RA3",5.641,6.317,7.335,8.03,9.385,10.637,10.758,11.933,12.404,13.956,13.935,13.702,15.233,18.845,20.195,21.807,22.377,22.908,24.499,26.183,27.45,30.262,32.13,34.989,38.136,36.635,36.892,40.097,45.202,52.249,55.951,61.553,66.944,75.699,81.236,87.157,100,103.564,115.975,115.708,110.091,116.867,121.669
"16","9","    Nonmedical instruments","W177RA3",12.091,13.043,12.224,15.458,17.252,21.775,19.922,21.36,33.771,37.268,38.178,39.558,41.378,42.483,41.581,50.777,52.72,52.919,52.491,52.683,65.015,68.914,69.482,71.925,71.784,75.02,81.458,84.247,76.694,78.164,78.056,82.984,86.29,87.229,85.764,93.873,100,107.218,108.563,106.602,88.223,94.419,96.15
"17","10","    Photocopy and related equipment","B285RA3",37.193,43.332,51.197,63.649,77.569,87.66,95.555,101.876,98.646,114.98,115.732,118.614,130.015,131.164,126.941,156.569,148.262,148.181,148.63,159.305,167.958,160.893,165.784,168.034,200.475,215.198,196.245,202.406,204.124,230.965,201.065,192.176,135.752,99.191,114.106,106.471,100,92.305,139.97,127.133,96.934,105.65,117.093
"18","11","    Office and accounting equipment","B936RA3",22.498,19.559,17.621,20.879,29.542,38.223,32.094,38.026,38.138,58.179,73.476,79.889,84.418,63.775,100.97,114.384,112.442,123.022,75.945,66.483,71.459,58.574,54.661,59.823,64.558,64.096,64.686,66.226,65.673,58.706,42.591,44.332,55.787,60.499,95.157,97.45,100,104.939,51.953,55.993,42.417,29.309,29.866
"19","12","  Industrial equipment","B680RA3",54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,112.664,108.274,85.327,84.339,95.562
"20","13","    Fabricated metal products","B263RA3",71.458,83.085,84.67,87.574,105.209,114.99,112.232,121.715,113.637,115.512,128.775,118.69,117.891,106.054,99.496,94.79,93.312,87.054,78.252,81.81,87.674,87.404,87.657,88.58,86.965,93.142,96.224,104.156,90.288,93.838,99.851,104.059,102.377,90.774,96.334,94.982,100,110.457,114.5,117.353,107.292,98.792,98.197
"21","14","    Engines and turbines","B668RA3",102.279,108.077,114.836,128.857,125.162,127.705,103.074,89.844,79.972,76.782,74.164,62.41,69.226,58.118,50.9,55.494,62.4,52.512,68.84,72.536,80.337,69.43,81.959,77.097,73.977,79.28,65.222,77.481,71.835,84.592,103.228,133.08,201.96,214.842,185.146,86.854,100,122.424,176.976,184.736,142.093,111.136,109.287
"22","15","    Metalworking machinery","B271RA3",74.065,70.526,54.493,63.026,80.789,90.194,75.152,74.488,75.962,88.916,97.927,98.068,95.37,77.74,58.852,70.394,75.893,75.156,68.242,72.885,85.284,78.198,73.662,77.351,83.942,97.401,111.435,113.417,121.914,122.083,117.987,120.219,101.996,92.311,91.474,92.164,100,104.587,106.892,106.209,72.311,75.809,85.649
"23","16","    Special industry machinery, n.e.c.","B272RA3",64.561,64.435,59.444,64.386,71.229,69.243,55.468,54.595,54.913,67.411,69.241,69.08,67.398,67.513,68.159,77.386,83.127,84.37,87.074,92.19,101.515,91.94,83.042,82.517,90.49,96.001,109.307,112.313,111.44,115.369,116.233,132.06,117.08,102.712,98.035,94.649,100,108.503,113.242,101.666,74.406,72.492,96.972
"24","17","    General industrial, including materials handling, equipment","B273RA3",38.058,37.606,35.398,36.545,44.649,50.384,42.692,43.346,51.255,58.713,62.704,58.434,56.249,52.063,47.723,57.125,60.592,63.457,58.839,61.714,62.173,60.112,54.852,56.786,65.474,70.344,77.055,79.604,83.288,88.785,85.638,90.811,82.864,82.078,87.319,89.711,100,107.119,106.803,101.945,82.955,83.398,94.95
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RA3",44.336,46.079,42.206,45.94,54.795,59.068,48.067,47.52,55.118,55.391,59.509,57.521,58.825,56.896,58.118,70.114,69.224,65.645,70.124,71.75,73.699,71.558,66.523,67.513,69.793,76.33,82.175,85.129,90.299,94.568,102.423,115.146,105.244,94.269,91.45,95.947,100,110.745,117.43,112.139,92.091,96.342,102.512
"26","19","  Transportation equipment","B681RA3",38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,102.223,78.524,38.01,65.812,86.247
"27","20","    Trucks, buses, and truck trailers","B279RA3",29.26,24.248,26.481,33.33,39.133,36.878,25.884,31.415,38.103,43.022,43.429,30.884,28.911,26.712,30.462,39.815,44.43,37.755,38.363,38.017,35.669,29.083,25.818,29.52,40.385,53.395,60.919,66.473,74.911,82.793,91.631,84.552,69.466,65.308,66.003,83.808,100,111.335,93.94,62.293,19.796,51.523,82.822
"28","21","      Light trucks (including utility vehicles) \3\","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.645,23.539,20.273,17.911,16.95,16.604,24.143,39.325,46.289,59.944,75.132,77.862,85.754,82.636,73.106,66.551,68.548,83.933,100,113.045,103.211,64.411,5.682,62.281,101.243
"29","22","      Other trucks, buses, and truck trailers \3\","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.173,67.376,66.832,51.739,43.778,55.92,73.482,81.435,89.983,79.307,74.045,92.168,102.831,88.113,62.654,62.853,61.16,83.568,100,108.309,78.221,58.301,41.282,51.939,82.18
"30","23","    Autos \3\","B280RA3",30.863,24.745,33.554,35.905,41.108,36.067,35.619,43.337,54.3,57.601,51.131,41.743,49.449,49.734,66.197,78.782,77.678,79.72,68.061,75.647,65.733,70.396,71.612,69.259,77.079,93.762,88.275,87.641,84.983,81.634,96.873,101.34,101.587,101.567,89.588,90.075,100,108.91,106.564,78.755,34.354,78.234,89.722
"31","24","    Aircraft","B281RA3",74.329,61.551,32.298,45.654,68.739,50.647,44.563,40.489,54.456,63.687,93.249,95.238,83.768,69.703,69.335,61.984,65.348,79.319,84.189,88.692,68.885,92.731,97.076,95.157,90.689,59.888,83.653,78.695,93.152,125.92,182.72,189.521,196.733,144.068,102.879,114.246,100,93.591,122.147,118.203,86.893,92.784,90.3
"32","25","    Ships and boats","B282RA3",96.573,94.697,87.633,107.146,153.264,125.498,162.996,153.969,157.916,150.885,171.477,168.485,197.76,124.176,74.461,63.199,46.419,51.107,61.941,53.085,47.187,47.548,47.646,34.391,60.987,50.759,48.763,61.174,70.178,73.713,74.925,85.809,77.303,89.114,94.716,104.65,100,87.879,109.345,136.02,115.201,95.761,109.814
"33","26","    Railroad equipment","B283RA3",139.746,106.974,112.525,101.294,113.446,132.336,120.217,92.388,102.706,127.87,172.956,150.648,87.313,52.13,34.785,51.588,45.327,40.053,31.334,48.896,68.936,69.26,63.149,59.413,67.382,88.06,94.586,93.608,103.396,118.429,132.736,126.161,96.495,84.365,73.632,78.961,100,116.617,121.255,131.34,96.524,87.748,99.254
"34","27","  Other equipment","B682RA3",36.88,38.41,38.121,43.026,50.792,50.794,46.778,47.531,53.145,59.232,62.034,55.6,56.954,47.887,45.795,51.85,52.255,51.373,53.01,55.077,61.16,58.988,50.381,50.1,55.948,59.989,63.223,65.655,71.606,78.643,80.429,84.708,83.704,83.177,86.782,92.201,100,103.831,103.309,100.13,82.51,85.847,93.974
"35","28","    Furniture and fixtures","B667RA3",26.468,25.664,23.938,30.027,32.127,28.756,24.34,26.446,32.464,36.284,39.147,41.396,42.671,45.072,48.213,55.861,58.299,60.008,64.102,61.931,68.815,64.415,56.699,62.183,62.624,63.977,67.375,68.827,79.023,88.741,96.177,103.174,96.402,92.07,92.609,95.314,100,101.599,95.967,90.689,64.178,62.593,65.815
"36","29","    Agricultural machinery","B268RA3",78.101,87.844,82.093,96.083,124.235,116.602,124.732,119.243,118.188,123.982,133.756,106.342,102.904,70.954,60.449,63.579,50.71,45.627,47.091,62.182,73.305,80.275,64.792,55.536,63.186,69.675,70.771,69.899,79.846,82.771,60.426,66.518,70.504,80.693,86.817,95.156,100,92.965,93.017,104.913,101.188,102.669,109.31
"37","30","    Construction machinery","B269RA3",51.029,48.92,48.262,57.979,69.138,73.638,58.837,55.755,71.649,86.339,79.8,61.407,57.284,36.277,40.006,54.667,59.012,56.563,51.659,49.434,61.291,60.701,39.575,38.641,48.911,54.69,60.161,67.229,71.452,80.327,80.737,81.442,72.094,66.609,69.827,80.357,100,112.846,108.31,99.386,68.943,82.372,111.289
"38","31","    Mining and oilfield machinery","B270RA3",47.401,63.157,70.877,57.337,69.83,92.883,113.334,114.385,120.605,112.809,109.001,106.773,155.21,104.809,62.312,55.128,47.8,25.475,23.916,28.441,33.196,30.089,23.861,21.073,40.162,38.772,38.47,39.837,51.21,50.941,74.161,73.289,83.016,53.886,64.978,74.354,100,147.722,194.891,177.426,162.813,187.756,213.073
"39","32","    Service industry machinery","B570RA3",43.084,43.03,43.9,44.345,47.638,45.688,37.984,41.812,44.912,50.763,55.983,55.062,54.624,54.675,55.316,64.407,68.282,68.392,73.832,74.814,78.745,69.047,64.475,62.115,65.508,71.065,74.473,76.339,74.977,84.435,91.182,94.175,97.414,94.344,93.702,95.734,100,98.829,94.256,92.723,89.861,90.888,88.504
"40","33","    Electrical equipment, n.e.c.","B670RA3",19.913,21.976,22.03,26.037,30.852,31.156,27.683,32.015,30.821,44.308,52.313,57.983,61.181,49.363,51.253,55.441,57.977,59.92,60.004,64.902,63.426,56.961,47.31,48.191,48.018,50.571,54.334,52.381,59.14,70.082,67.337,70.385,75.803,81.302,86.197,104.01,100,99.116,81.76,80.18,61.403,64.962,67.968
"41","34","    Other","B286RA3",16.157,17.074,18.439,20.365,24.464,26.069,22.501,24.3,28.288,32.027,36.113,32.971,32.327,34.042,33.051,35.375,37.09,39.179,41.651,43.749,45.925,44.74,43.749,44.191,50.979,55.459,58.574,61.548,65.467,70.575,74.571,79.558,81.881,87.716,93.474,95.797,100,99.93,101.326,98.222,82.856,81.428,82.661
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RA3",72.559,72.554,62.984,60.466,96.234,116.79,99.306,117.568,115.698,164.642,253.98,219.987,218.024,109.375,84.815,95.524,91.1,93.667,107.397,90.189,87.669,90.702,76.241,75.202,141.055,129.205,136.378,142.601,137.768,137.348,124.177,117.044,95.038,100.449,90.603,102.452,100,109.159,113.41,119.256,112.922,139.191,102.406
"43","36","Residential equipment","B013RA3",18.623,20.275,22.746,27.248,30.663,31.235,29.072,30.59,33.477,36.419,39.901,39.937,39.885,38.338,42.792,47.432,51.171,55.366,57.63,59.581,59.898,58.097,55.825,57.551,58.7,59.084,59.848,59.561,59.058,63.404,70.355,75.314,77.276,80.366,85.437,95.23,100,102.759,102.023,98.202,90.032,96.255,100.96
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional information is available in table 7.2.3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
