"","Table 2#2A# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2015 9:46:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    Wages and salaries","A576RC1",518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418,3616.5,3876.8,4181.6,4458,4825.9
"9","2","Private industries","A132RC1",412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,900.6,1016.2,1112,1225.5,1280,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789,2968.4,3205,3480.3,3724.2,4046.1
"10","3","  Goods-producing industries","A206RC1",200.4,203.7,209.2,228.1,255.9,276.5,277.1,309.7,346.1,392.1,441.4,471.1,512.9,513.4,526.4,584.1,616.9,633.1,656.7,703.3,728.3,750.4,743.4,763.3,778.6,822.1,861.3,904.8,970.9,1033.6,1083.4,1159.3
"11","4","    Manufacturing","A552RC1",157.7,158.4,160.7,175.5,196.6,211.8,211.6,238,266.7,300,335,356,387.4,385.5,400.3,444.9,468.1,480.6,497.2,530.2,548.2,562,563.4,584.7,593.9,622.5,649.8,675.9,720.2,758.3,784.5,832.8
"12","5","  Distributive industries","A212RC1",121.7,131.2,140.6,153.2,170.2,186.8,198.1,219.5,242.7,273.8,306.9,334.7,366,383.6,403.3,442.1,473.1,499.2,532.3,572.6,604.4,632.1,645.6,675.5,697.9,739.9,783.5,823.8,881.4,950.9,1023.6,1098.7
"13","6","  Service industries","A218RC1",90.6,99.4,107.9,119.7,133.9,148.6,163.4,181.6,202.8,234.6,267.9,306.2,346.5,382.9,422.9,470.6,518.7,572.7,644.1,711.9,769.2,839.6,876.8,954.7,1013.9,1065.1,1144.2,1239.7,1352.7,1495.8,1617.2,1788.1
"14","7","Government","B202RC1",105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452,481.1,519,548.8,572,589,609.5,629,648.1,671.9,701.3,733.8,779.8
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
