"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"12","4","Equals: Gross national product","A001RG3",21.218,21.499,21.805,22.078,22.382,22.706,22.892,23.191,23.545,23.862,24.102,24.301,24.697,24.846,25.066,25.351,25.677,26.099,26.587,27.048,27.596,28.211,29.07,29.952,30.631,31.078,31.634,32.162,32.51,32.837,33.258,33.816,34.358,34.9,35.385,35.981,36.581,37.284,37.932,38.704,39.415,40.353,41.176,41.982,42.89,43.828,44.834,46.093,47.288,48.127,49.026,49.911,50.58,51.204,51.925,52.491,52.938,53.299,53.856,54.248,54.812,55.297,55.752,56.097,56.759,57.086,57.451,57.762,58.04,58.259,58.536,58.892,59.245,59.636,60.078,60.549,61.018,61.624,62.368,62.904,63.548,64.218,64.692,65.125,65.854,66.535,67.139,67.668,68.341,68.802,69.298,69.665,69.983,70.425,70.751,71.24,71.67,72.101,72.468,72.875,73.251,73.612,73.982,74.404,74.856,75.193,75.517,75.877,76.266,76.554,76.902,77.227,77.606,77.967,78.194,78.462,78.576,78.757,79.043,79.252,79.55,79.885,80.168,80.562,81.16,81.606,82.128,82.565,83.092,83.674,83.945,84.207,84.454,84.803,85.178,85.624,86.161,86.439,86.908,87.338,88.09,88.831,89.414,90.039,90.871,91.526,92.377,93.077,93.794,94.566,95.228,95.569,96.638,97.196,97.519,97.93,98.493,98.935,99.619,99.795,100.039,99.887,99.885,100.188,100.635,101.091,101.552,102.073,102.529,103.296,103.894,104.038,104.593,105.055,105.667,106.059,106.455,106.748,107.278,107.751,108.143,108.737,109.163,109.191,109.208,109.778,110.14
"13","5","Less: Consumption of fixed capital","A262RG3",25.533,25.852,26.129,26.44,26.757,27.097,27.449,27.833,28.217,28.563,28.862,29.155,29.479,29.729,30.014,30.309,30.66,31.13,31.705,32.417,33.288,34.322,35.482,36.645,37.799,38.719,39.441,40.022,40.44,40.929,41.529,42.223,43.001,43.791,44.566,45.396,46.256,47.164,48.108,49.055,50.071,51.175,52.352,53.563,54.831,56.167,57.562,58.985,60.432,61.799,63.014,64.138,65.153,65.961,66.479,66.748,66.811,66.898,67.113,67.355,67.728,68.027,68.29,68.506,68.729,68.957,69.26,69.605,69.986,70.361,70.666,70.967,71.152,71.445,71.862,72.384,73.034,73.616,74.152,74.657,75.126,75.583,76.013,76.41,76.804,77.215,77.661,78.079,78.567,78.924,79.146,79.169,79.059,79.14,79.29,79.607,79.972,80.316,80.604,80.933,81.183,81.544,82.012,82.569,83.232,83.637,83.913,84.01,83.995,83.975,84.025,84.099,84.267,84.398,84.404,84.342,84.171,84.142,84.211,84.384,84.601,84.772,84.78,84.743,87,86.572,86.029,85.44,86.317,87.135,87.398,87.484,87.182,87.094,87.243,87.453,87.631,87.775,88.053,88.338,88.898,89.648,90.457,91.454,92.368,93.295,94.357,95.531,96.3,97.026,97.63,98.396,99.141,99.447,99.661,99.942,100.522,100.926,101.395,101.423,100.81,99.904,99.4,99.886,99.878,99.84,99.872,100.277,100.788,101.461,101.908,102.1,102.608,102.949,103.297,103.489,103.959,104.548,105.079,105.761,106.398,106.787,107.275,107.522,107.25,107.096,107.588
"14","6","  Private","A024RG3",26.61,26.922,27.225,27.518,27.804,28.111,28.439,28.788,29.157,29.501,29.821,30.114,30.381,30.65,30.923,31.203,31.492,31.937,32.527,33.252,34.104,35.075,36.165,37.377,38.713,39.806,40.662,41.286,41.684,42.21,42.856,43.618,44.49,45.376,46.276,47.187,48.108,49.083,50.108,51.177,52.288,53.453,54.672,55.944,57.269,58.641,60.061,61.531,63.052,64.448,65.722,66.873,67.902,68.651,69.131,69.351,69.319,69.375,69.516,69.74,70.041,70.321,70.576,70.806,71.009,71.279,71.615,72.016,72.483,72.883,73.217,73.487,73.693,74.02,74.466,75.028,75.704,76.329,76.904,77.429,77.905,78.355,78.78,79.18,79.559,79.958,80.378,80.821,81.288,81.602,81.766,81.782,81.654,81.651,81.77,82.007,82.357,82.676,82.963,83.218,83.441,83.767,84.19,84.703,85.303,85.718,85.956,86.022,85.923,85.887,85.91,85.988,86.119,86.167,86.135,86.023,85.832,85.744,85.757,85.872,86.088,86.177,86.123,85.904,88.568,87.885,87.096,86.299,87.361,88.353,88.682,88.764,88.35,88.208,88.355,88.597,88.731,88.856,89.134,89.441,90.039,90.766,91.504,92.467,93.458,94.383,95.446,96.705,97.534,98.186,98.77,99.453,100.07,100.277,100.376,100.556,101.065,101.393,101.771,101.633,100.873,99.874,99.353,99.9,99.815,99.636,99.591,99.964,100.412,101.065,101.456,101.601,102.079,102.354,102.677,102.895,103.419,104.038,104.607,105.311,105.98,106.365,106.85,107.096,106.772,106.646,107.202
"15","7","  Government","A264RG3",21.805,22.118,22.327,22.654,23.019,23.408,23.792,24.233,24.626,24.957,25.199,25.476,25.911,26.103,26.399,26.717,27.197,27.708,28.218,28.866,29.743,30.891,32.175,33.164,33.801,34.234,34.58,35.023,35.471,35.844,36.296,36.78,37.277,37.774,38.179,38.755,39.412,40.1,40.782,41.351,42.058,42.949,43.968,44.965,46.028,47.215,48.499,49.741,50.93,52.168,53.175,54.189,55.132,56.099,56.714,57.124,57.472,57.65,58.082,58.373,58.949,59.3,59.577,59.744,60.023,60.12,60.317,60.483,60.601,60.89,61.099,61.485,61.603,61.787,62.108,62.498,63.047,63.488,63.897,64.327,64.76,65.224,65.657,66.032,66.46,66.893,67.402,67.731,68.267,68.739,69.125,69.166,69.112,69.436,69.676,70.219,70.617,71.026,71.312,71.855,72.177,72.637,73.236,73.914,74.763,75.128,75.524,75.716,75.982,76.017,76.157,76.213,76.502,76.921,77.064,77.187,77.091,77.28,77.552,77.935,78.148,78.639,78.902,79.603,80.197,80.786,81.247,81.543,81.656,81.746,81.736,81.841,82.014,82.154,82.306,82.375,82.753,82.977,83.256,83.447,83.84,84.687,85.807,86.952,87.53,88.463,89.521,90.321,90.825,91.876,92.572,93.706,95.02,95.769,96.5,97.231,98.13,98.874,99.747,100.505,100.536,100.035,99.604,99.825,100.152,100.722,101.075,101.617,102.392,103.152,103.833,104.225,104.855,105.475,105.934,106.012,106.257,106.713,107.083,107.666,108.166,108.569,109.073,109.319,109.282,109.003,109.205
"16","8","    General government","A265RG3",22.27,22.59,22.798,23.124,23.497,23.892,24.284,24.733,25.133,25.458,25.689,25.948,26.396,26.585,26.888,27.205,27.693,28.212,28.732,29.403,30.286,31.421,32.659,33.628,34.235,34.66,35.002,35.445,35.913,36.278,36.755,37.253,37.761,38.264,38.634,39.229,39.91,40.578,41.241,41.795,42.504,43.383,44.387,45.367,46.434,47.637,48.915,50.171,51.387,52.667,53.675,54.766,55.789,56.774,57.377,57.821,58.191,58.376,58.838,59.168,59.786,60.126,60.393,60.555,60.824,60.927,61.146,61.298,61.397,61.663,61.863,62.241,62.365,62.534,62.846,63.258,63.83,64.247,64.639,65.066,65.523,65.974,66.386,66.776,67.221,67.631,68.133,68.5,69.084,69.585,69.979,70.038,69.99,70.304,70.531,71.09,71.468,71.861,72.187,72.736,73.012,73.482,74.114,74.837,75.724,76.075,76.461,76.614,76.905,76.937,77.072,77.113,77.434,77.841,77.982,78.1,77.983,78.185,78.451,78.831,79.028,79.533,79.794,80.497,81.109,81.671,82.131,82.408,82.503,82.587,82.557,82.647,82.787,82.901,83.047,83.119,83.49,83.712,84.005,84.175,84.545,85.3,86.322,87.385,87.978,88.855,89.846,90.627,91.098,92.043,92.689,93.741,95.082,95.801,96.494,97.175,98.077,98.845,99.715,100.44,100.491,100.054,99.616,99.839,100.193,100.751,101.049,101.577,102.338,103.068,103.695,104.02,104.636,105.226,105.657,105.689,105.899,106.332,106.692,107.287,107.765,108.138,108.601,108.81,108.762,108.472,108.708
"17","9","    Government enterprises","A266RG3",17.781,18.031,18.262,18.628,18.914,19.266,19.586,19.952,20.299,20.728,21.1,21.581,21.895,22.131,22.366,22.709,23.124,23.565,24,24.443,25.291,26.615,28.388,29.601,30.531,31.056,31.438,31.89,32.17,32.624,32.852,33.228,33.634,34.077,34.813,35.223,35.677,36.562,37.431,38.142,38.846,39.856,41.029,42.195,43.246,44.311,45.667,46.799,47.772,48.67,49.679,50.049,50.318,51.141,51.871,51.996,52.161,52.284,52.462,52.422,52.652,53.102,53.462,53.683,54.044,54.1,54.106,54.395,54.678,55.178,55.482,55.94,56.01,56.322,56.741,56.933,57.297,57.955,58.534,58.998,59.23,59.822,60.451,60.693,60.98,61.635,62.216,62.212,62.323,62.539,62.859,62.74,62.632,63.049,63.409,63.814,64.403,64.95,64.895,65.402,66.122,66.496,66.822,67.141,67.683,68.175,68.648,69.167,69.231,69.285,69.469,69.651,69.679,70.198,70.359,70.521,70.593,70.683,71.002,71.41,71.755,72.134,72.412,73.104,73.561,74.355,74.835,75.272,75.515,75.652,75.797,76.014,76.427,76.757,76.955,76.998,77.429,77.67,77.842,78.188,78.754,80.258,82.085,83.819,84.284,85.623,87.164,88.099,88.838,90.659,91.712,93.45,94.574,95.535,96.549,97.649,98.52,99.091,99.987,100.988,100.871,99.892,99.521,99.716,99.851,100.507,101.274,101.916,102.788,103.777,104.853,105.745,106.482,107.321,107.984,108.411,108.908,109.538,109.977,110.471,111.138,111.763,112.569,113.08,113.119,112.924,112.878
"18","10","Equals: Net national product","A027RG3",20.518,20.791,21.098,21.364,21.663,21.982,22.148,22.433,22.781,23.091,23.323,23.508,23.909,24.045,24.256,24.536,24.856,25.268,25.742,26.17,26.675,27.235,28.051,28.891,29.506,29.891,30.422,30.939,31.276,31.581,31.976,32.513,33.021,33.528,33.975,34.537,35.101,35.773,36.381,37.124,37.792,38.703,39.476,40.225,41.082,41.963,42.911,44.142,45.297,46.062,46.916,47.763,48.382,48.977,49.724,50.329,50.83,51.227,51.83,52.24,52.828,53.335,53.814,54.176,54.894,55.233,55.606,55.911,56.173,56.369,56.642,57.005,57.38,57.783,58.228,58.69,59.132,59.739,60.511,61.05,61.716,62.415,62.894,63.331,64.106,64.825,65.45,65.994,66.693,67.169,67.706,68.123,68.505,69,69.353,69.866,70.306,70.749,71.126,71.544,71.939,72.299,72.654,73.055,73.475,73.801,74.13,74.53,74.98,75.314,75.707,76.07,76.481,76.876,77.137,77.456,77.614,77.827,78.146,78.36,78.67,79.03,79.358,79.822,80.153,80.735,81.428,82.034,82.506,83.05,83.323,83.616,83.955,84.379,84.792,85.278,85.877,86.178,86.679,87.135,87.919,88.658,89.202,89.763,90.58,91.189,92.003,92.621,93.328,94.108,94.779,95.045,96.17,96.774,97.116,97.551,98.112,98.561,99.283,99.485,99.891,99.884,99.979,100.246,100.781,101.332,101.873,102.417,102.862,103.647,104.273,104.408,104.972,105.457,106.118,106.548,106.93,107.168,107.697,108.131,108.477,109.109,109.524,109.51,109.582,110.289,110.626
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",20.56,20.834,21.141,21.407,21.708,22.026,22.192,22.478,22.826,23.136,23.368,23.553,23.956,24.092,24.302,24.581,24.901,25.313,25.788,26.215,26.724,27.287,28.105,28.948,29.561,29.946,30.475,30.992,31.328,31.631,32.026,32.563,33.073,33.579,34.025,34.588,35.154,35.824,36.432,37.176,37.844,38.757,39.531,40.283,41.143,42.025,42.976,44.209,45.361,46.127,46.979,47.826,48.447,49.045,49.794,50.4,50.9,51.295,51.899,52.309,52.898,53.407,53.888,54.252,54.974,55.308,55.682,55.985,56.251,56.444,56.711,57.071,57.438,57.839,58.282,58.743,59.186,59.794,60.566,61.104,61.768,62.465,62.943,63.377,64.15,64.866,65.487,66.024,66.72,67.194,67.73,68.148,68.532,69.029,69.383,69.898,70.337,70.781,71.161,71.58,71.976,72.337,72.69,73.089,73.506,73.83,74.158,74.558,75.007,75.342,75.734,76.098,76.509,76.905,77.166,77.485,77.643,77.854,78.172,78.384,78.692,79.051,79.379,79.843,80.174,80.758,81.452,82.059,82.53,83.074,83.347,83.641,83.98,84.403,84.817,85.302,85.899,86.202,86.704,87.16,87.945,88.685,89.227,89.787,90.604,91.212,92.023,92.64,93.349,94.129,94.801,95.065,96.19,96.792,97.134,97.564,98.122,98.563,99.279,99.493,99.897,99.886,99.976,100.241,100.642,101.203,101.749,102.29,102.724,103.501,104.13,104.264,104.825,105.314,105.981,106.41,106.791,107.026,107.555,107.992,108.34,108.976,109.392,109.384,109.472,110.184,110.523
"21","12","  Net domestic purchases","W367RG3",19.994,20.263,20.555,20.816,21.122,21.421,21.618,21.905,22.238,22.543,22.793,22.986,23.364,23.524,23.747,24.02,24.334,24.794,25.24,25.701,26.369,27.108,27.91,28.695,29.264,29.662,30.142,30.642,30.977,31.288,31.712,32.22,32.799,33.343,33.839,34.412,34.968,35.635,36.241,36.93,37.634,38.592,39.573,40.534,41.657,42.66,43.621,44.788,45.959,46.742,47.449,48.296,48.873,49.381,50.1,50.686,51.05,51.421,51.999,52.322,52.911,53.412,53.816,54.142,54.745,55.11,55.502,55.923,56.216,56.23,56.557,56.947,57.451,57.942,58.427,58.9,59.37,59.973,60.577,61.173,61.882,62.639,63.018,63.507,64.384,64.94,65.713,66.58,66.997,67.287,67.752,68.189,68.622,69.142,69.6,70.06,70.437,70.886,71.19,71.571,71.92,72.326,72.791,73.168,73.569,73.963,74.246,74.592,75.03,75.336,75.686,76.137,76.488,76.658,76.869,77.14,77.12,77.243,77.484,77.716,78.005,78.472,78.913,79.488,79.97,80.479,81.191,81.814,82.239,82.539,82.661,82.746,83.067,83.681,84.085,84.601,85.45,85.522,86.046,86.498,87.389,88.137,88.794,89.567,90.247,90.921,91.979,92.796,93.417,94.182,94.839,94.888,95.93,96.659,97.205,98.142,99.077,100.115,101.137,100.04,99.429,99.685,100.163,100.722,101.253,101.555,101.934,102.539,103.338,104.363,104.86,105.116,105.771,106.07,106.421,106.989,107.338,107.482,107.927,108.381,108.762,109.307,109.708,109.638,109.167,109.676,110.001
